perm_android_permission_GET_TASKS,intent_android_net_conn_CONNECTIVITY_CHANGE,n_permissions,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_gms_permission_ACTIVITY_RECOGNITION,perm_android_permission_CHANGE_WIFI_STATE,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_EXTERNAL_STORAGE,intent_android_intent_action_ACTION_POWER_DISCONNECTED,suspicious_getSubscriberId,intent_android_intent_action_ACTION_POWER_CONNECTED,n_activities,perm_android_permission_READ_LOGS,perm_android_permission_RECORD_AUDIO,perm_android_permission_READ_PHONE_STATE,intent_co_ronash_pushe_RECEIVE,intent_com_evernote_android_job_ADD_JOB_CREATOR,intent_com_igexin_sdk_action_refreshls,intent_co_ronash_pushe_service_ScreenStateService,perm_android_permission_RESTART_PACKAGES,n_providers,n_urls,n_api_calls,perm_android_permission_WRITE_CALENDAR,suspicious_getCellLocation,n_receivers,label
0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,3,59,21,0,0,6,0
0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,53,23,0,0,4,0
0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,1,56,26,0,0,3,0
0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,0,0,0,0,0,0,50,27,0,0,3,0
0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,50,24,0,0,6,0
0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,50,24,0,1,1,0
0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,1,59,15,0,0,5,0
0,0,8,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,40,16,0,0,4,0
0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,1,0,0,0,0,0,0,49,13,0,0,0,0
0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,48,13,0,1,1,0
0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,4,48,28,0,0,8,0
0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,55,22,0,0,0,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,53,22,0,0,3,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,55,16,0,0,4,0
0,0,11,0,0,1,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,57,15,0,0,3,0
0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,17,0,1,1,0,0,0,0,0,1,39,19,0,0,4,0
0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,4,46,8,0,0,3,0
0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,45,11,0,0,2,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,57,26,0,0,4,0
0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,45,11,0,0,2,0
0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,47,23,0,1,1,0
0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,1,46,16,0,0,0,0
0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,2,44,20,0,0,6,0
0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,2,56,26,0,0,2,0
0,0,13,0,0,1,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,1,44,14,0,0,3,0
0,0,18,0,0,0,1,0,0,0,0,1,0,0,0,19,0,0,1,0,0,0,0,0,2,54,24,0,0,4,0
0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,3,46,20,0,0,1,0
1,1,9,0,0,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0,0,0,0,51,21,0,0,5,1
1,1,11,0,1,1,0,0,0,1,0,1,0,0,0,15,0,0,1,0,0,0,0,0,1,43,21,0,0,2,1
0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,1,41,20,0,0,3,0
0,0,11,0,0,0,1,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,3,42,21,0,0,3,0
0,1,11,0,0,1,0,1,0,1,0,1,0,0,0,16,0,0,1,1,1,0,1,0,2,45,26,0,1,9,1
1,0,12,0,1,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,4,45,28,0,0,4,0
0,0,14,0,0,1,1,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,2,43,21,0,0,7,0
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,51,12,0,0,4,0
0,0,11,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0,0,0,0,0,3,54,16,0,0,5,0
