cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_features_scored,max_reduction_ratio,mean_reduction_ratio,mean_conditional_entropy
23,54158,250,248,2,0.06722154475830686,1000,0.5070973789766134,0.011297619252067745,0.06646210134009169
24,2600,250,243,7,0.18426059333965514,1000,0.4045812585246402,0.003797762574820163,0.18356081535425567
25,12365,250,134,116,0.9962572968375276,1000,0.43035728101745574,0.006093369466391482,0.9901867330443078
26,12463,250,247,3,0.09377790984777166,1000,0.28367885738558846,0.0026744631561302626,0.09352710428302487
27,72988,250,225,25,0.4689955935892812,1000,0.33415357156312486,0.01162247246436623,0.46354470521688074
28,41480,250,248,2,0.06722154475830686,1000,0.4947914377035264,0.007237196068361682,0.06673504925887284
29,6894,250,231,19,0.38792567937193734,1000,0.47054084274472135,0.011878671548508898,0.383317637641446
30,26041,250,206,44,0.6712478853829508,1000,0.5950350458816829,0.009878296172471008,0.6646170999659932
31,30616,250,244,6,0.16334554318340233,1000,0.3728561464110521,0.006907783870724758,0.1622171874748453
32,14186,250,249,1,0.037622360322278434,1000,1.0,0.009358297243952627,0.03727027909136346
33,58810,250,235,15,0.32744491915447627,1000,0.5710757383385524,0.005708473943221059,0.32557570836564276
34,34379,250,248,2,0.06722154475830686,1000,0.5933168819187493,0.00754964920024649,0.06671404567668299
35,32391,250,249,1,0.037622360322278434,1000,0.26443763171366047,0.00221201688477168,0.03753913902600059
36,49614,250,238,12,0.2778395739583094,1000,0.5538731156939476,0.007755580167367353,0.2756847668688086
37,67794,250,244,6,0.16334554318340233,1000,0.3062358840557079,0.004117162847380184,0.1626730229817225
38,66445,250,250,0,-0.0,1000,0.0,0.0,0.0
39,21090,250,196,54,0.7527960664084545,1000,0.37625635305020033,0.00638656356759884,0.7479882864768984
40,24393,250,218,32,0.5519275534566073,1000,0.3535030623872091,0.0046351083850812635,0.5493693094256233
41,12517,250,248,2,0.06722154475830686,1000,0.4756328637845009,0.008139367671179539,0.06667440389009435
42,37877,250,250,0,-0.0,1000,0.0,0.0,0.0
43,64133,250,249,1,0.037622360322278434,1000,0.7873604970163787,0.011045854457587032,0.03720678920580765
44,9465,250,234,16,0.3431229071320203,1000,0.33050177960401167,0.00115035029433449,0.3427281955948081
45,5083,250,226,24,0.4561861025695263,1000,0.34724633975471625,0.004803692469750787,0.45399472482380804
46,52440,250,250,0,-0.0,1000,0.0,0.0,0.0
47,59687,250,169,81,0.908678384800712,1000,0.6609912763788555,0.022857832742898473,0.8879079662638502
48,34661,250,220,30,0.5293608652873644,1000,0.37035615942949013,0.01127810443487409,0.523390678164918
49,4369,250,250,0,-0.0,1000,0.0,0.0,0.0
50,17904,250,180,70,0.8554508105601306,1000,0.6195472150861763,0.00626083403648458,0.8500949750088374
51,32593,250,248,2,0.06722154475830686,1000,0.5704186224919203,0.007166280204914047,0.06673981633276167
52,22610,250,246,4,0.11835001140827503,1000,0.5039959688773016,0.015524950782795822,0.11651263330601822
53,52240,250,195,55,0.7601675029619657,1000,0.9619184384327376,0.003778437798159728,0.7572952573358416
54,20725,250,248,2,0.06722154475830686,1000,0.6138009015408092,0.01321300141451908,0.0663333463923292
55,49798,250,137,113,0.9933418121880535,1000,0.257936759279915,0.009712066432619895,0.983694410517784
56,60270,250,249,1,0.037622360322278434,1000,1.0,0.022058711839673104,0.03679245951720094
57,10467,250,249,1,0.037622360322278434,1000,0.32749897078515877,0.0021962487540568474,0.03753973226029595
58,45535,250,119,131,0.9983373765218819,1000,0.8644341244408246,0.016797788717424725,0.981567516202359
59,35155,250,248,2,0.06722154475830686,1000,0.49435005524811365,0.01005986611183362,0.06654530501820767
60,55648,250,247,3,0.09377790984777166,1000,0.572199684606982,0.010382946338195594,0.09280421884211408
61,55043,250,247,3,0.09377790984777166,1000,0.4519615286688591,0.004817577620112852,0.09332612748802804
62,34629,250,223,27,0.49385372369952063,1000,0.426537047121195,0.00486397574181542,0.4914516311674408
63,62354,250,249,1,0.037622360322278434,1000,0.7071010453820851,0.008610111327321333,0.03729842761150702
64,21594,250,240,10,0.24229218908241482,1000,0.3741648073543948,0.004232672802862293,0.24126664552333976
65,7957,250,244,6,0.16334554318340233,1000,0.7061444159140222,0.022128282149418487,0.15973098691599
66,3278,250,248,2,0.06722154475830686,1000,1.0,0.01979090476533238,0.0658911695678167
67,27743,250,245,5,0.14144054254182067,1000,0.3959441704415413,0.007234372180581141,0.14041730901564978
68,10473,250,245,5,0.14144054254182067,1000,0.5080883636389031,0.006305769552003265,0.14054865107524162
69,47559,250,243,7,0.18426059333965514,1000,0.5738682542238825,0.00948207245369111,0.18251342104324847
70,47273,250,241,9,0.22364166448448083,1000,0.42201612052950865,0.007649351040090225,0.221930950885649
71,23392,250,249,1,0.037622360322278434,1000,0.7071010453820851,0.0028777656750521236,0.03751409198512854
72,74669,250,249,1,0.037622360322278434,1000,0.29483696189891484,0.0016150828667066356,0.03756159709271686
73,35618,250,202,48,0.7056366064601749,1000,0.608436019415005,0.0056354059808247274,0.7016600577078402
74,37291,250,250,0,-0.0,1000,0.0,0.0,0.0
75,51400,250,220,30,0.5293608652873644,1000,0.5266716650060888,0.017889372421574453,0.5198909316228316
76,30673,250,250,0,-0.0,1000,0.0,0.0,0.0
77,66848,250,74,176,0.8763462289152606,1000,0.40859353303764584,0.00874118936900331,0.8686859205755002
78,15071,250,247,3,0.09377790984777166,1000,0.5608517258895298,0.007270395249696519,0.09309610737748793
79,48177,250,250,0,-0.0,1000,0.0,0.0,0.0
80,27447,250,248,2,0.06722154475830686,1000,0.2306031095151166,0.001041038059176104,0.06715156457181687
81,24724,250,250,0,-0.0,1000,0.0,0.0,0.0
82,32727,250,248,2,0.06722154475830686,1000,0.4406676524436433,0.006722659293985882,0.06676963721568134
83,55754,250,243,7,0.18426059333965514,1000,0.28213082880124585,0.00151525663605329,0.18398139125283416
84,40914,250,234,16,0.3431229071320203,1000,0.5027256896244992,0.014665309480970497,0.3380909035089189
85,25061,250,225,25,0.4689955935892812,1000,0.42847417754506195,0.0021018644107353257,0.4680098284423243
86,16081,250,250,0,-0.0,1000,0.0,0.0,0.0
87,32936,250,237,13,0.2948328193632007,1000,0.5213940092706018,0.010167859879179758,0.2918350005681322
88,6573,250,243,7,0.18426059333965514,1000,0.6175579537097853,0.005156548451450907,0.18331044466240615
89,41903,250,243,7,0.18426059333965514,1000,0.3408127490420723,0.004427761361474092,0.18344473140402354
90,7045,250,249,1,0.037622360322278434,1000,1.0,0.013002618594992103,0.03713317112036448
91,14973,250,242,8,0.2043246709802796,1000,0.4347210551050134,0.00704292509502185,0.20288562762750048
92,42607,250,249,1,0.037622360322278434,1000,1.0,0.027553356880409215,0.03658573800163535
93,40813,250,250,0,-0.0,1000,0.0,0.0,0.0
94,32554,250,244,6,0.16334554318340233,1000,0.49472703635223925,0.007207367043054354,0.16216825189883247
95,20759,250,79,171,0.8999784480561683,1000,0.5107444659290987,0.0013225393095570852,0.8987881911808602
96,7281,250,248,2,0.06722154475830686,1000,1.0,0.003751207766923704,0.0669693827775049
97,6676,250,250,0,-0.0,1000,0.0,0.0,0.0
98,61023,250,249,1,0.037622360322278434,1000,0.4166375257421933,0.0031008642135324036,0.03750569849152646
99,64231,250,235,15,0.32744491915447627,1000,0.26603714627651137,0.00632025086821084,0.32537538511989894
100,43054,250,247,3,0.09377790984777166,1000,0.5993095265279945,0.007057779684562646,0.09311604602078728
101,25420,250,230,20,0.4021791902022728,1000,1.0,0.014788514351201999,0.3962315574762117
102,72652,250,232,18,0.3733433210798535,1000,0.2693492462644524,0.008857494207845673,0.37003643477585085
103,52823,250,250,0,-0.0,1000,0.0,0.0,0.0
104,37262,250,246,4,0.11835001140827503,1000,0.46200827448212806,0.012499099903850803,0.1168707427920611
105,22006,250,246,4,0.11835001140827503,1000,0.4327971256513581,0.002207864552514134,0.11808871061329702
106,53762,250,250,0,-0.0,1000,0.0,0.0,0.0
107,551,250,242,8,0.2043246709802796,1000,0.25617498619322854,0.0037225682537259494,0.20356405844663536
108,33180,250,243,7,0.18426059333965514,1000,0.9056007480105965,0.025259260575195425,0.1796063069987487
109,57503,250,245,5,0.14144054254182067,1000,0.3740205663337744,0.0029039650934457456,0.14102980414348115
110,12091,250,243,7,0.18426059333965514,1000,0.4318530762668377,0.0071982604595534514,0.18293423759636449
111,64066,250,246,4,0.11835001140827503,1000,0.4327971256513581,0.004997777851108148,0.11775852434258033
112,30758,250,250,0,-0.0,1000,0.0,0.0,0.0
113,62829,250,249,1,0.037622360322278434,1000,0.6549804456670512,0.007193554358314664,0.037351721828212024
114,49802,250,250,0,-0.0,1000,0.0,0.0,0.0
115,71972,250,193,57,0.7745085286615678,1000,0.24428324478462743,0.004770884530858941,0.7708134379031578
116,31332,250,248,2,0.06722154475830686,1000,0.3443343094765448,0.0035387637302558383,0.0669836635938244
117,50155,250,249,1,0.037622360322278434,1000,1.0,0.009806172929285909,0.03725342895095027
118,35296,250,36,214,0.5946193440950123,1000,0.3584898292135203,0.0008191910464644994,0.5941322372522749
119,41501,250,248,2,0.06722154475830686,1000,1.0,0.011363092480008267,0.06645770012856922
120,39386,250,247,3,0.09377790984777166,1000,0.44230671989329506,0.010209002535172283,0.09282053092839257
121,52168,250,249,1,0.037622360322278434,1000,1.0,0.009758091647124227,0.03725523788227251
122,63959,250,248,2,0.06722154475830686,1000,0.8360711577177473,0.004546332129182173,0.06691593328959893
123,11549,250,250,0,-0.0,1000,0.0,0.0,0.0
124,69061,250,240,10,0.24229218908241482,1000,0.38597276975969663,0.004113217016953971,0.24129558872720608
125,27239,250,250,0,-0.0,1000,0.0,0.0,0.0
126,50078,250,248,2,0.06722154475830686,1000,0.49523167460775525,0.0071327242799822405,0.06674207201387138
127,33697,250,250,0,-0.0,1000,0.0,0.0,0.0
128,48963,250,243,7,0.18426059333965514,1000,0.38540645550301866,0.005399349336045975,0.1832657060273473
129,20712,250,239,11,0.26034062501245037,1000,0.9237029994315159,0.03378753752935607,0.25154435637442624
130,16990,250,234,16,0.3431229071320203,1000,0.42575181498977605,0.005590928926544039,0.34120453134517603
131,70411,250,236,14,0.31135737042928313,1000,0.3937245205848987,0.0055161523449373745,0.309639875740276
132,33358,250,243,7,0.18426059333965514,1000,0.4623685767087153,0.007181377258711198,0.18293734850496912
133,51133,250,238,12,0.2778395739583094,1000,0.32656257319734966,0.004557146724382669,0.27657341825394144
134,1702,250,250,0,-0.0,1000,0.0,0.0,0.0
135,59566,250,226,24,0.4561861025695263,1000,0.2938717713705738,0.006491399054480743,0.45322481653463914
136,24080,250,249,1,0.037622360322278434,1000,0.5853386659974522,0.004555849702329049,0.03745095850320327
137,56736,250,248,2,0.06722154475830686,1000,0.6661998474086774,0.009789842395407956,0.06656345642954718
138,69344,250,197,53,0.7452883145630642,1000,0.362310284991594,0.007487855693821499,0.7397077032133246
139,58485,250,153,97,0.9634967421655787,1000,0.8109423026450696,0.003563144817977718,0.9600636637415928
140,12032,250,250,0,-0.0,1000,0.0,0.0,0.0
141,58480,250,241,9,0.22364166448448083,1000,0.4398392035708165,0.011717609079019005,0.22102111888627057
142,41754,250,233,17,0.3584153246392747,1000,0.5049536685230378,0.008828096585889816,0.3552511995354961
143,51117,250,221,29,0.5177526267252631,1000,0.3464112220914362,0.012067216842777936,0.5115047935076515
144,37436,250,246,4,0.11835001140827503,1000,0.41873691911188143,0.0034658822308575826,0.11793982420671327
145,17942,250,240,10,0.24229218908241482,1000,0.649539045936279,0.01037567625451978,0.23977824376949686
146,50741,250,250,0,-0.0,1000,0.0,0.0,0.0
147,61565,250,248,2,0.06722154475830686,1000,1.0,0.006670265980080623,0.06677315917517707
148,72142,250,215,35,0.584238811642856,1000,0.5882998416445648,0.004657565680099393,0.581517681004766
149,30111,250,250,0,-0.0,1000,0.0,0.0,0.0
150,6429,250,243,7,0.18426059333965514,1000,0.5863232297734902,0.003595225245709317,0.18359813500269107
151,8580,250,71,179,0.8608440062015498,1000,0.7715671638319103,0.05379107771865201,0.8145382793603264
152,72431,250,250,0,-0.0,1000,0.0,0.0,0.0
153,2791,250,249,1,0.037622360322278434,1000,1.0,0.00463041695019313,0.03744815310733588
154,56943,250,243,7,0.18426059333965514,1000,0.35792144386047436,0.005567648356125052,0.18323469515004903
155,8850,250,250,0,-0.0,1000,0.0,0.0,0.0
156,60289,250,36,214,0.5946193440950123,1000,0.3584898292135203,0.0008191910464644994,0.5941322372522749
157,52212,250,244,6,0.16334554318340233,1000,0.5164394860796848,0.003457163889107785,0.162780830870062
158,63036,250,244,6,0.16334554318340233,1000,0.7976152309901484,0.009818523273372936,0.16174173116605436
159,37568,250,250,0,-0.0,1000,0.0,0.0,0.0
160,57845,250,249,1,0.037622360322278434,1000,1.0,0.019447020261346565,0.0368907175188114
161,37164,250,250,0,-0.0,1000,0.0,0.0,0.0
162,59573,250,240,10,0.24229218908241482,1000,0.35733971886301386,0.0075875846967677855,0.2404537765763868
163,35324,250,247,3,0.09377790984777166,1000,0.5993095265279945,0.0040022229669821234,0.09340258974318331
164,18391,250,185,65,0.8267463724926178,1000,0.408162424901188,0.011110962563893339,0.8175604244980178
165,67527,250,250,0,-0.0,1000,0.0,0.0,0.0
166,5934,250,248,2,0.06722154475830686,1000,0.4406676524436433,0.002930836887301492,0.06702452937530784
167,32829,250,193,57,0.7745085286615678,1000,0.3660742724917106,0.005006704466919929,0.7706307933514501
168,74395,250,249,1,0.037622360322278434,1000,0.6162239217830967,0.004488429069359311,0.03745349502655001
169,42269,250,249,1,0.037622360322278434,1000,0.48600068526015666,0.004986466399194827,0.037434757686672995
170,33708,250,247,3,0.09377790984777166,1000,0.401267077117579,0.002686509969371839,0.09352597455805875
171,67262,250,187,63,0.8144326879441559,1000,0.7076106424907482,0.012932630522360097,0.8038999309056415
172,62372,250,177,73,0.8712907840103599,1000,0.4138293477269712,0.01246989474867697,0.8604258796382582
173,73647,250,250,0,-0.0,1000,0.0,0.0,0.0
174,34935,250,250,0,-0.0,1000,0.0,0.0,0.0
175,57319,250,250,0,-0.0,1000,0.0,0.0,0.0
176,4775,250,247,3,0.09377790984777166,1000,0.7929255202998662,0.007446380716285605,0.09307960382826763
177,42350,250,247,3,0.09377790984777166,1000,0.48205177915193664,0.004192824137433734,0.0933847155638038
178,11420,250,245,5,0.14144054254182067,1000,0.28418858465958347,0.0036074009929282264,0.14093030978821497
179,13658,250,242,8,0.2043246709802796,1000,0.3549755198263602,0.005770643376627481,0.20314558617100562
180,30464,250,245,5,0.14144054254182067,1000,0.6674666296239032,0.01444657001072258,0.13939721184163564
181,32734,250,67,183,0.8385800999954849,1000,0.5990075132796608,0.008794114603308378,0.8312055304920706
182,9585,250,248,2,0.06722154475830686,1000,0.4406676524436433,0.004045607806113919,0.06694959275209363
183,53678,250,62,188,0.8080927832245586,1000,0.44115013918112134,0.008785536358093388,0.8009932546968265
184,47266,250,237,13,0.2948328193632007,1000,0.35058827265270076,0.004125489304764571,0.2936164897202243
185,25693,250,242,8,0.2043246709802796,1000,0.2607932786209828,0.005496946189786565,0.2032015092586551
186,47159,250,247,3,0.09377790984777166,1000,0.6033667068101003,0.015232114388390519,0.0923494739978662
187,51271,250,145,105,0.9814538950336537,1000,0.45433136972883026,0.011894446318866879,0.9697800443647333
188,22776,250,240,10,0.24229218908241482,1000,0.4075170002838678,0.010493926590269313,0.23974959263678836
189,58262,250,243,7,0.18426059333965514,1000,0.41312658029722016,0.007067356848496157,0.1829583579734082
190,27133,250,250,0,-0.0,1000,0.0,0.0,0.0
191,56879,250,144,106,0.9832692110965187,1000,0.8337040130427595,0.01464458823036785,0.9688696383804113
192,28572,250,187,63,0.8144326879441559,1000,0.20003446002385836,0.004841369159960438,0.8104897186458793
193,61583,250,216,34,0.5736665363828041,1000,0.34484387915435605,0.004827519349411061,0.5708971500783063
194,14569,250,225,25,0.4689955935892812,1000,0.6245429818355134,0.0027850389694358516,0.4676894225846414
195,62327,250,250,0,-0.0,1000,0.0,0.0,0.0
196,2309,250,245,5,0.14144054254182067,1000,0.25344727793022237,0.0018598326566895515,0.1411774868018215
197,47692,250,248,2,0.06722154475830686,1000,1.0,0.0037554085275000944,0.0669691003958898
198,70336,250,227,23,0.44311055824469103,1000,0.545440975026999,0.010581195072366892,0.4384219189892786
199,9727,250,235,15,0.32744491915447627,1000,0.8914808708583188,0.029261349634690542,0.3178634388889941
