perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_api_calls,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_LOGS,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getCellLocation,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_RESTART_PACKAGES,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_MESSAGING_EVENT,n_providers,suspicious_sendTextMessage,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_RECEIVE_SMS,suspicious_setWifiEnabled,perm_android_permission_ACCESS_WIFI_STATE,label
0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,14,0,29,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0
0,0,27,0,25,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,2,0,13,0,0,0,0,0
1,1,40,1,30,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,10,1,1,1,1,0
0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,31,0,14,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,0,14,0,0,0,0,0
0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
0,0,8,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,23,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,3,0,7,0,0,0,0,0
0,0,6,0,24,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0
0,0,8,0,25,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,2,0,6,0,0,0,0,0
0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,14,0,37,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,9,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1
0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,40,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,12,0,0,0,1,0
1,0,35,0,24,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,6,0,14,0,0,0,1,0
0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,16,0,17,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
0,0,12,0,50,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,3,0,5,0,0,0,1,0
0,0,27,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0
1,0,6,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,17,0,46,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,4,0,16,0,0,0,1,1
0,0,5,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,15,0,20,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,21,0,0,0,0,0
0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,22,0,38,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,2,0,12,0,0,0,1,0
0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,37,1,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,5,0,6,0,0,0,1,0
0,0,8,0,22,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,6,0,0,0,0,0
0,0,11,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,5,0,0,0,0,0
0,0,16,0,23,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,5,0,27,0,0,0,1,0
0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,6,0,13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,24,1,52,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,2,0,16,0,0,0,1,0
0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,39,1,43,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,4,0,1,0,1,0
0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,28,1,46,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,6,1,1,0,1,0
0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,27,0,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,4,0,0,0,1,0
0,1,28,0,21,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,1
0,0,12,0,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
0,0,8,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,0,21,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,10,0,0,0,0,0
0,0,8,0,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0
1,1,25,1,40,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,5,1,0,0,1,0
0,1,34,0,19,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,3,0,8,0,0,0,1,0
0,0,10,0,28,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,3,0,4,0,0,0,0,0
0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,18,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1
0,1,18,0,20,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,28,0,30,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,10,0,0,0,1,0
0,0,25,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,11,0,0,0,1,0
0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,27,0,24,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,10,0,0,0,1,0
0,0,6,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,14,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0
0,0,6,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1
0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,1,41,0,9,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,3,0,10,0,0,0,1,0
0,0,6,0,8,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,3,0,0,0,0,0
