cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,mean_reduction_ratio,mean_conditional_entropy
58,55117,500,500,0,-0.0,30,0.0,0.0
59,55722,500,394,106,0.7452883145630642,4,0.01669545586837467,0.7328453863980611
60,30151,500,453,47,0.4496822131225001,30,0.01409954554369241,0.44334189827839104
61,27780,500,500,0,-0.0,30,0.0,0.0
62,57970,500,488,12,0.16334554318340233,2,0.005763451975080822,0.16240410898992133
63,5723,500,499,1,0.020814071335501033,6,0.007577385223141302,0.020656355098930004
64,47756,500,478,22,0.26034062501245037,2,0.0018553232543551755,0.25985760899681143
65,51185,500,422,78,0.6246538232507122,30,0.006809771374892129,0.6204000735259226
66,62021,500,498,2,0.037622360322278434,2,0.003306764481805813,0.03749795203744302
67,6437,500,484,16,0.2043246709802796,30,0.0057645479551791026,0.20314683161598754
68,20740,500,469,31,0.33533353587867765,30,0.008681432787867443,0.33242236032542904
69,7290,500,342,158,0.8999784480561683,30,0.022423547257123175,0.8797977387957886
70,72749,500,403,97,0.7097645542842425,30,0.009664905660692478,0.702904746825782
71,56812,500,477,23,0.26915586965420646,4,0.020108965517931683,0.2637434235523811
72,3283,500,495,5,0.08079313589591118,30,0.005094376838395496,0.08038154521570169
73,64314,500,486,14,0.18426059333965514,30,0.007376619744597593,0.1829013730086746
74,52499,500,494,6,0.09377790984777166,30,0.008079938982174953,0.09302019005832574
75,32637,500,497,3,0.05291508034484766,30,0.0030264036530480167,0.0527549379523907
76,64317,500,479,21,0.2513881446901185,7,0.011783849084021572,0.24842582473157795
77,14588,500,493,7,0.10627369308465984,30,0.008232556639136917,0.1053987888870901
78,27275,500,499,1,0.020814071335501033,1,0.0035411155147692815,0.02074036630456938
79,4782,500,493,7,0.10627369308465984,3,0.012852863775729475,0.104907771784499
80,7054,500,491,9,0.13005884617909685,2,0.013696928931958544,0.1282774394060092
81,37486,500,491,9,0.13005884617909685,30,0.00490792227600659,0.1294205274707427
82,73085,500,500,0,-0.0,30,0.0,0.0
83,32873,500,302,198,0.968562600558214,30,0.007938008556255519,0.9608741423477136
84,23423,500,484,16,0.2043246709802796,30,0.010217641625780441,0.20223695471689757
85,60350,500,489,11,0.15252732850878192,30,0.00719399843795462,0.1514300471457444
86,47336,500,500,0,-0.0,30,0.0,0.0
87,50809,500,499,1,0.020814071335501033,1,0.005268551159780695,0.020704411335826622
88,35202,500,399,101,0.7259101060407926,30,0.0053941632075209,0.7219944284548199
89,58558,500,378,122,0.8016291015856118,30,0.004146535215849199,0.7983051182858374
90,30799,500,490,10,0.14144054254182067,30,0.008271944585083364,0.14027055421183057
91,26569,500,499,1,0.020814071335501033,4,0.009118175657024689,0.0206242849769261
92,55828,500,486,14,0.18426059333965514,30,0.004364854881424383,0.1834563225893624
93,9740,500,480,20,0.24229218908241482,30,0.009172225836502245,0.24006983040573046
94,51468,500,498,2,0.037622360322278434,2,0.010502980384597523,0.03722721340979128
95,24757,500,500,0,-0.0,30,0.0,0.0
96,6684,500,495,5,0.08079313589591118,30,0.006131574704562257,0.08029774674754953
97,42325,500,300,200,0.9709505944546686,18,0.030414471605231554,0.9414196451695445
98,33742,500,496,4,0.06722154475830686,30,0.002131668084994404,0.06707825073672155
99,62437,500,496,4,0.06722154475830686,30,0.002911030366729063,0.06702586080021701
