n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_used_permissions,n_urls,n_receivers,perm_com_android_vending_BILLING,label
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
63,1,1,0,0,0,8,0,1,0,1,0,0,0,0,0,0,36,1,0,0,0,5,0,0,0,17,106,5,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,97,4,0,1
46,1,1,1,0,0,15,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,15,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
46,1,1,1,0,0,15,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,98,4,0,1
45,1,1,0,0,0,14,3,1,0,0,0,0,0,0,1,1,42,1,0,0,1,12,1,0,0,17,111,9,1,1
46,1,1,1,0,0,14,2,1,0,1,0,0,1,1,0,0,38,0,0,0,0,6,0,0,0,14,96,4,0,1
48,1,1,1,0,0,12,0,1,1,1,0,0,0,0,0,0,40,1,0,1,0,5,0,0,0,11,93,6,0,0
54,1,1,1,1,0,22,0,1,1,1,0,0,0,0,0,0,45,1,1,1,0,4,0,0,0,17,111,4,0,1
43,1,1,1,0,0,12,2,1,0,1,0,0,1,1,0,0,41,0,0,0,0,5,0,0,0,13,94,3,0,1
39,1,0,1,0,0,5,1,0,0,0,0,0,0,0,1,0,41,0,0,0,0,2,0,0,0,17,99,2,1,0
50,1,1,1,1,0,11,5,1,0,1,0,0,0,0,1,0,41,1,0,0,0,8,0,0,0,21,92,1,0,1
57,1,1,1,0,0,14,2,1,0,1,1,1,1,1,1,0,38,0,0,0,0,13,0,0,0,15,114,10,0,0
41,1,1,1,0,0,7,2,1,0,1,0,0,0,0,0,0,38,0,0,0,0,4,0,0,0,12,96,2,0,1
41,1,1,1,1,1,19,0,1,1,0,0,0,0,0,0,0,47,1,1,1,0,7,0,0,0,14,103,7,0,1
42,1,1,0,0,0,8,0,1,1,0,0,0,0,0,0,0,35,1,0,0,0,1,0,0,0,12,103,0,0,1
