feature,mean_cluster_coverage,max_cluster_coverage,appearances
intent_org.agoo.android.intent.action.ELECTION_RESULT_V4,0.005246135388306954,0.01,13
intent_org.agoo.android.intent.action.PING_V4,0.005246135388306954,0.01,13
perm_android.permission.READ_INTERNAL_STORAGE,0.005176288345934417,0.012012012012012012,15
intent_org.android.agoo.client.ElectionReceiverService,0.005169212311383877,0.01,13
intent_com.baidu.autoupdatesdk.ACTION_NEW_AS,0.005131119722001545,0.009009009009009009,14
intent_com.baidu.autoupdatesdk.ACTION_NEW_UPDATE,0.005131119722001545,0.009009009009009009,14
intent_android.intent.action.DELETE,0.0050911845658896246,0.012012012012012012,18
intent_com.xiaomi.mipush.MESSAGE_ARRIVED,0.005049940011997601,0.01,12
perm_com.android.broswer.permission.WRITE_HISTORY_BOOKMARKS,0.005005005005005005,0.006006006006006006,3
intent_android.net.wifi.RSSI_CHANGED,0.005002457002457003,0.01,11
intent_com.tappx.sdk.SILP,0.0050006006006006005,0.01,5
intent_pushy.me,0.005000429000429,0.01,14
intent_android.media.browse.MediaBrowserService,0.005,0.005,4
perm_android.permission.TRANSMIT_IR,0.005,0.005,4
perm_com.xgbuy.xg.permission.JPUSH_MESSAGE,0.005,0.005,4
intent_com.yulong.mms.NEW_MESSAGE_EXTERNAL,0.005,0.008,2
perm_android.permission.WRITE_APN_SETTING,0.005,0.005,2
perm_com.fx.launcher.permission.READ_SETTINGS,0.005,0.005,2
perm_com.fx.launcher.permission.WRITE_SETTINGS,0.005,0.005,2
intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.ACTION_PROCESS_UPDATES,0.005,0.005,1
intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.PROCESS_UPDATES,0.005,0.005,1
perm_android.permission.ACCESS_WIMAX_STATE,0.005,0.005,1
perm_android.permission.BODY_SENSORS,0.005,0.005,1
perm_android.permission.CHANGE_WIMAX_STATE,0.005,0.005,1
perm_android.permission.PERSISTENT_ACTIVITY,0.005,0.005,1
perm_android.permission.READ_CELL_BROADCASTS,0.005,0.005,1
perm_android.permission.READ_INSTALL_SESSIONS,0.005,0.005,1
perm_android.permission.READ_SOCIAL_STREAM,0.005,0.005,1
perm_android.permission.READ_USER_DICTIONARY,0.005,0.005,1
perm_android.permission.SUBSCRIBED_FEEDS_READ,0.005,0.005,1
perm_android.permission.WRITE_PROFILE,0.005,0.005,1
perm_android.permission.WRITE_USER_DICTIONARY,0.005,0.005,1
perm_com.android.voicemail.permission.ADD_VOICEMAIL,0.005,0.005,1
perm_com.google.android.gms.permission.AD_ID_NOTIFICATION,0.005,0.005,1
perm_android.permission.WRITE_CALENDAR,0.004959682580858346,0.015015015015015015,14
intent_cn.jpush.android.intent.CONNECTION,0.004955542224888356,0.01,18
intent_com.xiaomi.push.PING_TIMER,0.004928485731425144,0.01,14
intent_com.umeng.message.autoupdate.handler.action,0.004911084449776711,0.01,9
intent_com.umeng.message.unregistercallback.action,0.004911084449776711,0.01,9
perm_,0.004880584603799961,0.01,15
perm_android.permission.SET_TIME_ZONE,0.0048348348348348355,0.01,6
intent_cn.jpush.android.intent.UNREGISTRATION,0.004784044092082484,0.01,12
intent_android.intent.action.TIME_TICK,0.00475,0.01,8
perm_android.permission.SET_DEBUG_APP,0.004729402194909094,0.009009009009009009,11
perm_android.permission.READ_CALENDAR,0.004681986005201363,0.012012012012012012,15
perm_com.android.permission.WRITE_APN_SETTINGS,0.004666666666666667,0.01,6
perm_android.permission.REAL_GET_TASKS,0.004601399063059672,0.01,17
intent_aspire.iap.SMS_DELIVERED_ACTION,0.004534494502500901,0.01,18
perm_com.xiaomi.permission.AUTH_SERVICE,0.004533960675332401,0.01,18
intent_android.service.notification.NotificationListenerService,0.004459468080643845,0.009009009009009009,14
intent_android.intent.action.SEND_MULTIPLE,0.004367127175165567,0.01,12
perm_android.permission.WRITE_INTERNAL_STORAGE,0.0043665996000587905,0.009009009009009009,17
intent_android.provider.Telephony.WAP_PUSH_RECEIVED,0.0043499800039992,0.01,12
intent_android.intent.action.RESPOND_VIA_MESSAGE,0.004342054111700183,0.006006006006006006,10
