cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
65,cluster_65.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.6198323918483764,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_65
66,cluster_66.json,50,suspicious_getSubscriberId,5,0.691623871280896,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_66
67,cluster_67.json,50,n_urls,4,0.6585015250376108,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_67
68,cluster_68.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9035818965268892,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_68
69,cluster_69.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.9682746531875576,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_69
70,cluster_70.json,50,perm_android.permission.GET_TASKS,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_70
71,cluster_71.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9866029521489156,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_71
72,cluster_72.json,50,perm_android.permission.GET_TASKS,5,0.8146869218822799,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_72
73,cluster_73.json,50,suspicious_getSubscriberId,5,0.975048890498635,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_73
74,cluster_74.json,50,n_api_calls,5,0.9128503767117936,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_74
75,cluster_75.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8740238380331042,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_75
76,cluster_76.json,50,perm_android.permission.GET_TASKS,5,0.96021820549811,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_76
77,cluster_77.json,50,suspicious_getSubscriberId,5,0.9711323662218062,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_77
78,cluster_78.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.8931199445678317,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_78
79,cluster_79.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.5380903590474924,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_79
80,cluster_80.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9623082696261088,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_80
81,cluster_81.json,50,perm_android.permission.GET_TASKS,5,0.8247781953895007,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_81
82,cluster_82.json,50,suspicious_getSubscriberId,5,0.9221702259536256,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_82
83,cluster_83.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8548119907673012,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_83
84,cluster_84.json,50,suspicious_getExternalStorageDirectory,4,0.8,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_84
85,cluster_85.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9994528511597398,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_85
86,cluster_86.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_86
87,cluster_87.json,50,suspicious_getSubscriberId,5,0.7827725581166904,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_87
88,cluster_88.json,50,perm_android.permission.ACCESS_WIFI_STATE,5,0.5962626824091345,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_88
89,cluster_89.json,50,n_api_calls,5,0.9112771386522052,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_89
90,cluster_90.json,50,perm_android.permission.GET_TASKS,5,0.9253804064624068,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_90
91,cluster_91.json,50,suspicious_getSubscriberId,5,1.0,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_91
92,cluster_92.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.9304372264542168,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_92
93,cluster_93.json,50,n_api_calls,5,0.9004181238547115,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_93
94,cluster_94.json,50,n_api_calls,5,0.9002068745204884,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_94
95,cluster_95.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.7154039523320435,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_95
96,cluster_96.json,50,n_permissions,5,0.8480421844240515,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_96
97,cluster_97.json,50,perm_android.permission.GET_TASKS,5,0.8331062884674008,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_97
98,cluster_98.json,50,n_api_calls,5,0.9254489403647272,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_98
99,cluster_99.json,50,perm_android.permission.DEVICE_POWER,5,0.5058709850349216,reports/entropy_knn_balanced/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_99
