perm_android_permission_SET_WALLPAPER,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,intent_com_yandex_metrica_IMetricaService,suspicious_getSubscriberId,suspicious_system_bin_su,perm_android_permission_ACCESS_COARSE_UPDATES,intent_android_intent_action_DATA_SMS_RECEIVED,n_api_calls,n_providers,n_services,perm_android_permission_READ_LOGS,intent_com_inmobi_share_id,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_google_firebase_MESSAGING_EVENT,suspicious_getCellSignalStrength,intent_com_xiaomi_push_PING_TIMER,intent_com_xiaomi_mipush_ERROR,intent_com_xiaomi_mipush_RECEIVE_MESSAGE,intent_android_intent_action_DOWNLOAD_NOTIFICATION_CLICKED,suspicious_Landroid_telephony_SmsMessage___getMessageBody,perm_android_permission_WRITE_SETTINGS,n_activities,n_used_permissions,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,label
0,0,0,0,0,0,0,0,27,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,45,12,1,0,0,0
0,0,0,0,0,0,0,0,31,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,10,1,1,0,0
0,1,0,0,1,0,0,0,28,1,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,36,10,1,0,0,0
0,0,1,0,1,0,0,0,26,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,39,11,0,0,0,0
0,0,0,0,0,0,0,0,16,1,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,47,7,1,0,0,0
0,0,0,0,0,0,0,0,19,2,9,0,0,1,0,1,1,0,0,0,0,0,0,0,0,43,10,1,0,0,0
0,0,0,0,0,0,0,0,23,3,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,39,9,1,0,0,0
0,0,0,0,0,0,0,0,18,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,7,1,0,0,0
0,0,0,0,0,0,0,0,20,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,36,10,1,1,1,0
0,0,0,0,1,0,0,0,29,2,7,0,0,1,0,1,1,1,1,0,0,0,0,1,0,42,10,1,1,0,0
0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,47,7,0,0,0,0
0,1,0,0,1,1,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,1,0,0
0,1,0,0,1,1,0,0,24,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,1,0,0
0,1,0,0,1,0,0,0,28,3,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,54,11,1,0,0,0
0,0,0,0,0,0,0,0,33,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,46,14,1,0,0,0
0,0,0,0,0,0,0,0,23,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,10,0,0,0,0
0,1,0,0,1,0,0,0,20,1,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,46,9,1,1,0,0
0,1,0,0,0,1,0,0,27,5,8,0,1,1,0,1,1,0,1,0,0,0,0,0,1,43,12,1,0,1,0
0,0,0,0,0,1,0,0,28,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,38,12,0,0,0,0
0,1,0,0,0,0,0,0,27,5,8,0,1,1,0,1,1,0,1,0,0,0,0,0,1,42,12,1,0,1,0
0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48,7,0,0,0,0
0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,48,7,0,0,0,1
0,0,0,0,0,0,0,0,19,2,9,0,0,1,0,1,1,0,0,0,0,0,0,0,0,41,10,1,0,0,0
0,0,0,0,0,0,0,0,20,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,46,10,1,1,0,1
0,0,0,0,0,0,0,0,19,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,40,9,1,0,1,0
0,0,0,0,0,0,0,0,19,1,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,52,9,1,1,0,0
0,0,1,0,0,1,0,0,17,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,36,8,1,0,0,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,9,1,1,1,0
0,0,0,0,0,0,0,0,27,6,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,50,10,1,1,1,0
0,0,0,0,0,0,0,0,23,4,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,12,1,0,1,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,9,1,0,1,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,9,1,1,1,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,9,1,1,1,0
0,0,0,0,0,0,0,0,19,2,8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,51,8,1,0,0,0
0,1,1,0,1,0,0,0,31,2,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,41,13,1,1,0,0
0,1,0,0,1,1,0,0,32,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,10,0,1,0,0
0,0,0,0,0,0,0,0,31,4,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,44,12,1,0,0,0
0,0,0,0,0,0,0,0,21,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40,9,0,0,0,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,9,1,1,1,0
0,0,0,0,0,0,0,0,24,4,9,0,0,1,0,1,0,1,0,0,0,0,0,0,0,41,10,1,0,0,0
0,0,0,0,0,0,0,0,22,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,9,1,0,0,0
0,1,0,0,1,0,0,0,26,1,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37,10,1,1,0,0
0,0,0,0,0,0,0,0,24,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,9,1,1,1,0
0,0,0,0,1,0,0,0,20,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,46,10,1,1,1,0
0,0,0,0,0,0,0,0,23,2,12,0,0,1,0,1,0,1,0,0,0,0,0,0,0,54,10,1,0,0,0
0,0,0,0,0,0,0,0,19,1,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,9,1,1,1,0
0,0,0,0,0,1,0,0,32,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,35,11,1,0,0,0
0,0,0,0,0,1,0,0,32,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,35,11,1,0,0,0
0,0,0,0,0,0,0,0,15,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45,7,1,0,0,0
0,0,0,0,0,0,0,0,27,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,13,0,1,0,0
0,0,0,0,0,1,0,0,25,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,35,9,1,1,0,0
0,1,0,0,0,1,0,0,29,3,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,13,0,0,1,0
0,0,0,0,1,0,0,0,25,1,7,0,0,1,0,1,1,1,0,0,0,0,0,0,0,36,9,1,0,0,0
0,0,0,0,0,0,0,0,21,4,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,12,1,0,1,0
0,0,0,0,0,0,0,0,27,3,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,44,12,1,0,1,1
0,0,0,0,0,0,0,0,21,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,51,10,1,0,0,0
0,0,0,0,0,0,0,0,21,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,51,10,1,0,0,0
0,0,0,0,0,0,0,0,26,7,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,47,13,1,0,1,0
0,0,0,0,0,0,0,0,22,2,7,0,0,1,0,1,0,1,0,0,0,0,0,0,0,33,12,1,1,1,0
0,0,0,0,0,0,0,0,25,0,10,0,1,1,0,1,0,0,0,0,0,0,0,0,0,43,10,1,0,0,0
0,0,0,0,0,0,0,0,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,1,0,0
0,0,0,0,0,0,0,0,29,4,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,13,1,0,1,0
0,0,0,0,0,0,0,0,21,5,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,48,7,1,0,1,0
0,0,0,0,0,0,0,0,29,4,14,0,0,1,0,1,0,1,0,0,0,0,0,0,0,37,10,1,0,1,0
0,0,0,0,0,0,0,0,19,1,10,0,0,1,0,1,0,1,0,0,0,0,0,0,0,36,9,1,0,0,0
0,0,0,0,0,0,0,0,26,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,37,12,1,0,0,0
