top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
800,6.304637694844335,4.370041842672202,0.007880797118555417,0.005462552303340252,0.0007089736888570286,0.0004914231135433628,intent_com.mobiletool.appstore.action.update|perm_android.permission.WRITE_APN_STORAGE|intent_com.Remind.alarm.repeat|intent_com.mobiletool.appstore.browser.highspeed|intent_com.mobiletool.appstore.action.specialdetail|intent_com.mobiletool.appstore.highspeed|intent_com.mobiletool.appstore.intent.action.COMMAND|intent_com.mobiletool.appstore.action.main|intent_com.mobiletool.appstore.action.BackgroundService|intent_com.mobiletool.appstore.action.appdetail,0.007089736888569398,0.0049142311354337664,-9.078257505947505e-05
810,6.311715415274497,4.374947744633348,0.007792241253425305,0.005401170055102898,0.0006969572304492133,0.0004830939392559703,intent_com.qihoo.sdkplugging.host.service.CommonHostProxyService|intent_com.mobiletool.appstore.action.backtomarket|intent_com.mobiletool.appstore.action.download|intent_com.mobiletool.appstore.action.service|intent_com.mobiletool.appstore.action.topicdetail|intent_android.intent.action.ACTION_MEDIA_EJECT|intent_com.mobiletool.appstore.action.sdk|intent_com.esbook.receiver.CLICK_DOWN_BOOK|intent_intent.action.HEJU|intent_android.intent.action.PACKAGE_INSTALL,0.007077720430162415,0.004905901961145709,-8.855586513011222e-05
820,6.318536442372652,4.379675720334948,0.007705532246795917,0.005341067951627985,0.0006647555056533139,0.0004607734045037372,perm_com.meizu.c2dm.permission.RECEIVE|intent_org.agoo.android.intent.action.RE_ELECTION_V2|perm_android.permission.ACCESS_NETWORK_STATE|perm_com.facebook.permission.prod.FB_APP_COMMUNICATION|perm_android.permission.REBOOT_IPO|intent_com.qihoo360.accounts.action.START_SERVICE|perm_com.android.broswer.permission.WRITE_HISTORY_BOOKMARKS|perm_android.permission.MODE_WORLD_READABLE|intent_com.huawei.android.push.intent.CLICK|intent_com.gtp.nextlauncher.theme,0.006821027098155241,0.004727975701600329,-8.670900662938793e-05
830,6.325182897319493,4.384282691842257,0.007620702285927101,0.005282268303424406,0.0006646454946840907,0.000460697150730978,intent_com.kingroot.common.ACTION_NOTIFY_IN_SELF_APP_MAIN|intent_com.datouniao.AdPublisher.service.check|intent_com.kingroot.common.ACTION_NEW_APP_STARTED|intent_com.kingroot.kinguser.gamebox.ACTION_GAME_ADDED|intent_com.kingroot.kinguser.action.update|intent_com.qihoo.appstore.reservation.alarm|intent_com.qihoo.appstore.download_some_apk|intent_com.kingroot.common.ACTION_TOP_APP_CHANGED|intent_com.kingroot.common.ACTION_TOP_ACTIVITY_CHANGED|intent_com.kingroot.common.ACTION_SWITCH_OUT_DESKTOP,0.006646454946841018,0.004606971507309154,-8.482996086881661e-05
840,6.331644042802942,4.388761216617747,0.007537671479527312,0.005224715734068747,0.00063783806290163,0.0004421156549520572,intent_com.kingroot.common.ACTION_SWITCH_IN_DESKTOP|intent_com.kingroot.common.ACTION_NOTIFY_OUT_SELF_APP_BY_MAIN|intent_com.onesignal.NotificationExtender|intent_com.urbanairship.push.OPENED|intent_org.agoo.android.intent.action.PING|intent_org.agoo.android.intent.action.ELECTION_V2|intent_com.excelliance.open.action.appstate|perm_qiku.permission.ACCESS_QKPARAMS|intent_com.excelliance.open.action.gameverchk|intent_com.excelliance.open.action.dmchk,0.0064611454834491155,0.004478524775490378,-8.303080639978852e-05
850,6.3379135733439185,4.3931069240357505,0.007456368909816375,0.005168361087100883,0.0006203196139117906,0.0004299727914489288,intent_com.excelliance.open.action.apkverchk|intent_com.excelliance.open.NEXT_CHAPTER|intent_android.intent.action.CONFIGURATION_CHANGED|intent_com.sogou.passport.service.upload|intent_com.ss.android.socialbase.downloader.remote|intent_com.sogou.androidtool.action.topicdetail|intent_com.sogou.androidtool.action.main|intent_com.sogou.androidtool.action.backtomarket|intent_com.sogou.androidtool.action.specialdetail|intent_com.sogou.androidtool.action.extend,0.00626953054097612,0.0043457074180031086,-8.130256971093739e-05
860,6.344116769483036,4.39740665195024,0.007376879964515158,0.005113263548779348,0.0006203196139117906,0.0004299727914489288,intent_com.sogou.androidtool.action.download|perm_com.kingroot.kinguser.permission.activityCalled|intent_com.chance.service|perm_com.kingroot.kinguser.permission.REQUEST|intent_com.sogou.androidtool.action.sdk|intent_com.sogou.androidtool.action.appdetail|perm_com.excelliance.dualaid.assist|intent_com.sogou.androidtool.action.BackgroundService|intent_com.kingroot.master.action.TRAFFIC_STATISTICS|intent_com.kingroot.kinguser.service.IKingrootAppList,0.006203196139117573,0.004299727914489182,-7.94889453012166e-05
870,6.3503199656221545,4.401706379864729,0.007299218351289833,0.005059432620534171,0.0006203196139117906,0.0004299727914489288,intent_com.kingroot.master.action.NOTIFY_STATISTIC|intent_com.kingroot.master.action.NAIN_EXIT_NOTIFY|intent_com.kingroot.master.action.MAIN_EXIT_CHECK|intent_com.kingroot.kinguser.SU_REQUEST|intent_com.sogou.androidtool.action.service|intent_com.sogou.androidtool.service.weathernotifyreceiver|intent_qihu360.intent.action.EXPORT_STAT|perm_com.qihoo360.mobilesafe.news.permission.NEWS_SDK_BROADCAST|intent_com.qihoo.appstore.ACTION_STABLE_NOTIFICATION_CLICK|intent_com.qihoo.appstore.ACTION_CHECK_PHOTOS,0.006203196139118461,0.004299727914489182,-7.766161322532526e-05
880,6.356523161761272,4.406006107779218,0.007223321774728718,0.005006825122476384,0.0006203196139117906,0.0004299727914489288,intent_com.qihoo.appstore.plugin.share.IpluginService|intent_com.qihoo.appstore.ACTION_CHARGE_START_PLUGIN|intent_com.qihoo.appstore.ACTION_CHARGE_SHOW_TIPS_DLG|perm_android.permission.ADDINSTALLKEY|intent_com.secneo.plugin.action.APP_STARTED|intent_com.qihoo.appstore.ACTION_WX_CLEAR|intent_com.secneo.plugin.action.DAILY|intent_com.secneo.plugin.action.HOURLY|intent_com.secneo.proxy.action.CUSTOM|intent_cn.ngds.android.intent.alarm,0.006203196139117573,0.004299727914489182,-7.58965765611146e-05
890,6.3627263579003905,4.410305835693708,0.007149130739213922,0.004955399815386189,0.0006203196139117906,0.0004299727914489288,intent_com.sogou.androidtool.highspeed|intent_com.qihoo.appstore.launcher.shortcut.VIDEOWALLPAPER|intent_com.sogou.androidtool.action.update|intent_com.sogou.androidtool.action.wap|intent_com.sogou.androidtool.intent.action.COMMAND|intent_com.excelliance.dualaid.b64.action.update.done|intent_com.sogou.androidtool.browser.highspeed|intent_com.qihoo.appstore.launcher.shortcut.HAOWU|intent_com.qihoo.appstore.msplugin.install|perm_com.qiku.android.launcher3.permission.WRITE_UNREAD,0.006203196139118461,0.00429972791449007,-7.419103551479633e-05
