top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,batch_feature_names,ig_gain,mi_gain,mean_ig_change
220,4.393445096600885,3.045304081671943,0.01997020498454948,0.013842291280327015,0.007473964445680992,0.005180557383352404,intent_com.qihoo.appstore.launcher.shortcut.WEBVIEW|intent_com.qihoo.appstore.launcher.shortcut.VIDEO|intent_qihooappstore.gotoadmin|intent_com.qihoo.appstore.launcher.shortcut.PLAYGAME|intent_com.qihoo360.daemon.pcdaemon.ACTION_START_OPERATE_AUTHOR|intent_com.qihoo.appstore.ACTION_NOTIFY_UNINSTALL|intent_com.qihoo.appstore.ACTION_UNINSTALL|intent_com.qihoo.appstore.ACTION_NORMAL_INSTALL_ERROR|intent_com.qihoo.appstore.ACTION_MEM_SCAN|intent_com.qihoo.appstore.ACTION_LAUNCH_SERVICE_ACTIVITY|intent_com.qihoo.appstore.ACTION_UPDATE_LAST_WX_CLEAR|intent_com.qihoo.appstore.ACTION_GET_DOWNLOAD_APK_PATH|intent_com.qihoo.appstore.ACTION_GAME_UNION_WEB|intent_com.qihoo.appstore.ACTION_GAME_UNION_GIFT_LiST|intent_com.qihoo.appstore.ACTION_WIRTE_CHANNEL_AND_INSTALL|intent_com.qihoo.appstore.ACTION_GAME_UNION_DETAIL|intent_com.qihoo.appstore.ACTION_GAME_UNION_DESK|intent_com.qihoo.appstore.ACTION_EVENT_STAT|intent_com.qihoo.accountcenter.action.START_ACCOUNT_SERVICE|intent_com.qihoo.appstore.ACTION_PACKAGE_REMOVED_NEED_CLEAR,0.1494792889136196,0.10361114766704826,-0.001249624053886851
240,4.542924385514506,3.148915229338991,0.01892885160631044,0.013120480122245795,0.007473964445680992,0.005180557383352404,intent_com.qihoo.appstore.ACTION_CLEAR_BACKGROUND|intent_com.qihoo.appstore.ACTION_CLEAN_STOP_SERVICE|intent_com.qihoo.appstore.ACTION_CLEAN_START_SERVICE|intent_com.qihoo.appstore.ACTION_HANDLE_SYSTEM_APP|intent_com.qihoo.appstore.ACTION_GET_SIGNIN_FOR_NOTIFYCATION|intent_com.qihoo.appstore.checkupdate.NOTIFY_APP_UPDATE|intent_com.qihoo.appstore.checkupdate.INSTALL_ALL_SILENT_TASK|intent_com.qihoo.appstore.checkupdate.INIT_APK_INFO|intent_com.qihoo.appstore.checkupdate.CHECK_BAOHE_UPDATE|intent_com.qihoo.appstore.batteryrank.POWERPERCENT|intent_com.qihoo.appstore.battery.STOP|intent_com.qihoo.appstore.ACTION_DAEMON_CORE_SERVICE|intent_com.qihoo.appstore.ACTION_CLEAR_CREATE_SHORTCUT|intent_com.qihoo.appstore.battery.ICON|intent_com.qihoo.appstore.ACTION_START_RADICALROOT|intent_com.qihoo.appstore.battery.FREEZE_APP|intent_com.qihoo.appstore.battery.ACCESSIBILITY_ALERT|intent_com.qihoo.appstore.clean.result|intent_com.qihoo.appstore.checkupdate.RESTART_ALL_DOWNLOAD|intent_com.qihoo.appstore.activate,0.1494792889136205,0.10361114766704782,-0.0010413533782390391
260,4.6924036744281254,3.2525263770060393,0.018047706440108176,0.012509716834638612,0.007473964445680992,0.005180557383352404,intent_com.qihoo.appstore.accessibility.ALERT|intent_com.qihoo.appstore.ACTION_STAT|intent_com.qihoo.appstore.QihooAlliance|intent_com.qihoo.appstore.PLUGIN_ICON|intent_com.qihoo.appstore.PACKAGE_ADDED|intent_com.qihoo.appstore.OPEN_BROWSER|intent_com.qihoo.appstore.MEMCLEAR|intent_com.qihoo.appstore.battery.START|intent_com.qihoo.appstore.LitePluginTipDialogActivity|intent_com.qihoo.appstore.LitePluginDownload|intent_com.qihoo.appstore.CLEAN_ACTIVITY_DESTROY|intent_com.qihoo.appstore.CHECK_STORAGE|intent_com.qihoo.appstore.CHECK_APP_UPDATE_DESK_NOTIFICATION|intent_com.qihoo.appstore.BATTERY|intent_com.qihoo.appstore.plugin.battery.setConfig|intent_com.qihoo.appstore.plugin.START_PLUGIN_FROM_PROXY_LISTENER|intent_com.qihoo.appstore.open.wallet|intent_com.qihoo.appstore.notification.notify_action|intent_com.qihoo.appstore.notification.click_action|intent_com.qihoo.appstore.NOTIFY_DELETE,0.1494792889136196,0.10361114766704826,-0.0008811451662022636
280,4.837468889134426,3.3530779215787785,0.017276674604051523,0.011975278291352781,0.006886204831867748,0.004773153463965441,intent_com.qihoo.appstore.battery.START_EX|intent_action.qihoo360.daemon.pcdaemon.DaemonStatus|perm_qiku.permission.READ_WRITE_SAFE_SPACE|perm_com.sonyericsson.home.READ_SETTINGS|perm_com.sonyericsson.home.WRITE_SETTINGS|perm_android.permission.REQUEST_INSTALL_PACKAGES|intent_android.intent.action.defaultSmsSet|perm_android.permission.AUTHENTICATE_ACCOUNTS|perm_com.nd.android.launcher.permission.WRITE_SETTINGS|perm_android.permission.READ_INSTALL_SESSIONS|perm_com.qiku.launcher.permission.WRITE_SETTINGS|perm_com.yulong.android.launcher3.WRITE_SETTINGS|perm_android.permission.RECEIVE_WAP_PUSH|perm_android.permission.READ_INTERNAL_STORAGE|intent_android.net.wifi.RSSI_CHANGED|perm_com.meizu.flyme.launcher.permission.WRITE_SETTINGS|perm_android.permission.READ_CELL_BROADCASTS|perm_xmpp.permission.RECEIVE_NOTIFICATION|perm_xmpp.permission.ACCESS_API|intent_android.intent.action.BATTERY_CHANGED,0.14506521470630052,0.10055154457273918,-0.0007710318360566529
300,4.9722455522441775,3.446497985619806,0.016574151840813924,0.011488326618732687,0.006546518447543004,0.00453770080439617,perm_android.permission.NFC|intent_com.coolcloud.xmpp.NOTIFICATION.1010048|intent_action_send_pop|intent_action_send_cancel|intent_com.qihoo.appstore.notification.click|intent_com.qihoo.appstore.stable_notification_broadcast|intent_com.qihoo.appstore.stablenotification.StableBroadcast|perm_android.permission.MANAGE_USERS|perm_android.permission.CHANGE_WIMAX_STATE|perm_com.anddoes.launcher.permission.READ_SETTINGS|perm_android.permission.READ_SOCIAL_STREAM|perm_com.ztemt.launcher.permission.READ_SETTINGS|perm_android.permission.WRITE_SYNC_SETTINGS|perm_android.permission.WRITE_SOCIAL_STREAM|perm_android.permission.ACCESS_WIMAX_STATE|intent_android.intent.action.SERVICE_STATE|perm_android.permission.ACCESS_MOCK_LOCATION|perm_com.nd.android.launcher.permission.READ_SETTINGS|perm_android.permission.CAMERA|perm_android.permission.PERSISTENT_ACTIVITY,0.13477666310975156,0.09342006404102765,-0.0007025227632375987
320,5.0976947951885885,3.5334527746702795,0.01593029623496434,0.011042039920844623,0.00600296535251188,0.0041609385090932705,perm_com.android.voicemail.permission.ADD_VOICEMAIL|perm_android.permission.SUBSCRIBED_FEEDS_WRITE|perm_com.zte.mifavor.launcher.permission.READ_SETTINGS|intent_android.intent.action.ACTION_POWER_DISCONNECTED|perm_com.yulong.android.launcherL.permission.READ_SETTINGS|perm_android.permission.READ_APP_BADGE|perm_android.permission.SYSTEM_OVERLAY_WINDOW|perm_com.yulong.android.launcher3.READ_SETTINGS|perm_android.permission.RUN_INSTRUMENTATION|intent_android.intent.action.CAL|perm_com.qiku.launcher.permission.READ_SETTINGS|perm_android.permission.READ_SYNC_SETTINGS|perm_com.meizu.flyme.launcher.permission.READ_SETTINGS|perm_com.android.launcher2.permission.WRITE_SETTINGS|perm_android.permission.SUBSCRIBED_FEEDS_READ|perm_com.anddoes.launcher.permission.UPDATE_COUNT|perm_com.majeur.launcher.permission.UPDATE_BADGE|intent_android.net.wifi.WIFI_STATE_CHANGED|intent_com.igexin.sdk.action.pushmanager|intent_android.intent.action.ACTION_SHUTDOWN,0.12544924294441095,0.08695478905047338,-0.0006438556058495845
340,5.211192663141869,3.6121235018416558,0.01532703724453491,0.010623892652475458,0.005622245101424506,0.0038970433404692806,perm_android.permission.WRITE_OWNER_DATA|perm_com.htc.launcher.permission.UPDATE_SHORTCUT|perm_com.google.android.providers.talk.permission.WRITE_ONLY|perm_com.android.alarm.permission.SET_ALARM|perm_com.google.android.providers.talk.permission.READ_ONLY|perm_android.permission.RECORD_VIDEO|perm_com.google.android.gms.permission.AD_ID_NOTIFICATION|intent_android.intent.action.SCREEN_OFF|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser|perm_android.permission.WRITE_INTERNAL_STORAGE|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.youtube|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.news|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.wifi|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.talk|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.speechpersonalization|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.speech|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.sitemaps|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.grandcentral|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.local|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.lh2,0.11349786795328054,0.07867072717137624,-0.0006032589904294301
360,5.323412162733089,3.689908131587152,0.014787256007591914,0.01024974480996431,0.00550775432358952,0.0038176843806119213,perm_com.google.android.googleapps.permission.GOOGLE_AUTH.knol|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.jotspot|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.ig|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.health|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.groups2|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.gbase|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.finance|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.dodgeball|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.notebook|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.cl|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.blogger|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.ah|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.adwords|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.orkut|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.adsense|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.print|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.mobile|perm_android.permission.CHANGE_WIFI_MULTICAST_STATE|intent_com.facebook.sdk.ACTION_CURRENT_ACCESS_TOKEN_CHANGED|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.mail,0.11221949959121957,0.07778462974549605,-0.0005397812369429961
380,5.428642252575367,3.7628480716719945,0.014285900664672018,0.009902231767557881,0.0050644143595554025,0.003510384534665973,intent_android.net.wifi.supplicant.CONNECTION_CHANGE|perm_android.permission.READ_OWNER_DATA|perm_android.permission.SET_TIME_ZONE|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.cp|perm_me.everything.badger.permission.BADGE_COUNT_WRITE|perm_me.everything.badger.permission.BADGE_COUNT_READ|perm_android.permission.USE_SIP|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES|intent_org.agoo.android.intent.action.RECEIVE|perm_com.android.browser.permission.WRITE_HISTORY_BOOKMARKS|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.wise|perm_android.permission.TRANSMIT_IR|perm_android.permission.VIBRATE|perm_com.sec.android.provider.badge.permission.WRITE|perm_com.sec.android.provider.badge.permission.READ|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.writely|intent_safiap.GET_SHARED_DATA|intent_safiap.framework.ACTION_SET_TIMER|intent_safiap.framework.ACTION_TO_INSTALL|intent_safiap.framework.ACTION_TO_INSTALL_IAP,0.10523008984227822,0.07293994008484272,-0.0005013553429198958
400,5.525522328980413,3.8300002234851838,0.013813805822451033,0.00957500055871296,0.004689719253342217,0.003250665678070823,intent_safiap.framework.sdk.ISAFFramework|intent_safiap.framework.ACTION_CHECK_UPDATE|intent_safiap.framework.ACTION_CANCEL_NOTIFICATION|perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE|intent_safiap.framework.ACTION_START_DOWNLOAD|perm_com.s.launcher.permission.READ_SETTINGS|perm_com.actionlauncher.playstore.permission.READ_SETTINGS|perm_android.permission.BIND_ACCESSIBILITY_SERVICE|intent_cn.jpush.android.intent.NOTIFICATION_RECEIVED_PROXY|perm_com.mx.launcher.permission.READ_SETTINGS|perm_com.apusapps.launcher.permission.READ_SETTINGS|perm_com.google.android.googleapps.permission.GOOGLE_AUTH|perm_android.permission.ACCOUNT_MANAGER|perm_android.permission.BIND_APPWIDGET|intent_cn.jpush.android.ui.PushActivity|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.androidsecure|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.android|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.sierraqa|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.sierra|perm_com.google.android.googleapps.permission.GOOGLE_AUTH.sierrasandbox,0.09688007640504637,0.06715215181318923,-0.00047209484222098495
