top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,ig_gain,mi_gain,mean_ig_change
6450,6.942550799938081,4.812209512941326,0.0010763644651066793,0.0007460789942544692,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-8.063054189825364e-06
6500,6.9447654763785325,4.813744609671988,0.0010684254579043896,0.0007405760937956905,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-7.939007202289756e-06
6550,6.946980152818984,4.815279706402652,0.0010606076569189288,0.0007351572070843743,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-7.817800985460708e-06
6600,6.9491948292594365,4.8168148031333144,0.001052908307463551,0.0007298204247171688,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.001535096730662211,-7.699349455377947e-06
6650,6.951409505699888,4.8183498998639775,0.0010453247376992314,0.0007245638947163876,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-7.5835697643195175e-06
6700,6.953624182140337,4.819884996594641,0.0010378543555433339,0.0007193858203872598,4.429352880902515e-05,3.07019346132604e-05,0.002214676440448926,0.0015350967306630992,-7.470382155897511e-06
6750,6.955838858580788,4.821420093325304,0.0010304946457156722,0.0007142844582704154,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-7.359709827661678e-06
6800,6.958053535021241,4.822955190055966,0.0010232431669148884,0.0007092581161847009,4.429352880902515e-05,3.07019346132604e-05,0.002214676440453367,0.001535096730662211,-7.251478800783745e-06
6850,6.960268211461692,4.824490286786629,0.0010160975491184951,0.0007043051513557123,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-7.145617796393321e-06
6900,6.9624828879021425,4.826025383517292,0.0010090554910003105,0.0006994239686256945,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-7.0420581181846e-06
6950,6.964697564342594,4.827560480247956,0.001002114757459366,0.0006946130187407131,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-6.940733540944551e-06
7000,6.966912240783046,4.829095576978619,0.0009952731772547207,0.0006898707967112314,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-6.841580204645231e-06
7050,6.969126917223497,4.8306306737092815,0.0009885286407409217,0.0006851958402424512,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-6.7445365137990335e-06
7100,6.971341593663948,4.8321657704399446,0.0009818790976991476,0.0006805867282309781,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-6.649543041774156e-06
7150,6.9735562701044,4.833700867170608,0.0009753225552593565,0.0006760420793245606,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-6.556542439791011e-06
7200,6.975770946544851,4.835235963901271,0.0009688570759090071,0.0006715605505418432,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-6.465479350349439e-06
7250,6.977985622985302,4.836771060631934,0.0009624807755841796,0.0006671408359492322,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-6.376300324827501e-06
7300,6.9802002994257535,4.838306157362597,0.0009561918218391443,0.0006627816653921366,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-6.288953745035332e-06
7350,6.982414975866204,4.839841254093261,0.00094998843209064,0.0006584818032779947,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-6.203389748504285e-06
7400,6.984629652306656,4.841376350823922,0.0009438688719333319,0.0006542400474086382,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306613228,-6.1195601573080845e-06
7450,6.986844328747107,4.842911447554586,0.0009378314535231016,0.000650055227859676,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-6.0374184102302605e-06
7500,6.989059005187558,4.84444654428525,0.0009318745340250078,0.0006459262059047,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-5.9569194980938715e-06
7550,6.99127368162801,4.8459816410159124,0.0009259965141229151,0.00064185187298224,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-5.878019902092629e-06
7600,6.993488358068461,4.847516737746575,0.0009201958365879554,0.0006378311497034966,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-5.800677534959701e-06
7650,6.995703034508911,4.849051834477239,0.0009144709849031257,0.0006338629848989854,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.0015350967306639873,-5.724851684829786e-06
7700,6.997917710949364,4.850586931207901,0.000908820481941476,0.0006299463547023247,4.429352880902515e-05,3.07019346132604e-05,0.002214676440453367,0.001535096730662211,-5.650502961649707e-06
7750,7.000132387389814,4.852122027938564,0.00090324288869546,0.0006260802616694922,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.0015350967306630992,-5.577593246015996e-06
7800,7.002347063830266,4.853657124669227,0.0008977368030551623,0.0006222637339319522,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-5.506085640297653e-06
7850,7.004561740270717,4.85519222139989,0.0008923008586332124,0.0006184958243821516,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-5.435944421949856e-06
7900,7.006776416711169,4.856727318130553,0.0008869337236343252,0.0006147756098899435,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-5.367134998887223e-06
7950,7.008991093151618,4.858262414861216,0.0008816340997674991,0.0006111021905485807,4.429352880902515e-05,3.07019346132604e-05,0.002214676440448926,0.0015350967306630992,-5.299623866826097e-06
8000,7.0112057695920695,4.8597975115918794,0.0008764007211990087,0.000607474688948985,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-5.233378568490462e-06
8050,7.013420446032521,4.861332608322542,0.0008712323535444126,0.0006038922494810611,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-5.16836765459606e-06
8100,7.015635122472973,4.862867705053205,0.0008661277928978979,0.0006003540376608895,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-5.104560646514698e-06
8150,7.017849798913423,4.864402801783869,0.0008610858648973526,0.0005968592394826833,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-5.04192800054534e-06
8200,7.020064475353875,4.865937898514532,0.0008561054238236433,0.0005934070607944551,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-4.980441073709264e-06
8250,7.0222791517943275,4.867472995245194,0.0008511853517326458,0.0005899967266963872,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.001535096730662211,-4.920072090997506e-06
8300,7.024493828234777,4.869008091975857,0.0008463245576186478,0.0005866274809609467,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.0015350967306630992,-4.8607941139979524e-06
8350,7.02670850467523,4.87054318870652,0.000841521976607812,0.0005832985854738348,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-4.802581010835837e-06
8400,7.028923181115681,4.872078285437184,0.0008367765691804383,0.0005800093196949029,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-4.745407427373749e-06
8450,7.031137857556132,4.873613382167846,0.0008320873204208441,0.0005767589801382066,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306613228,-4.6892487595941905e-06
8500,7.033352533996584,4.8751484788985096,0.0008274532392937157,0.0005735468798704129,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-4.634081127128341e-06
8550,7.035567210437034,4.876683575629173,0.000822873357945852,0.0005703723480268039,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-4.5798813478637205e-06
8600,7.037781886877485,4.878218672359834,0.0008183467310322657,0.0005672347293441668,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306613228,-4.526626913586287e-06
8650,7.039996563317937,4.879753769090498,0.0008138724350656574,0.0005641333837098842,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-4.474295966608289e-06
8700,7.042211239758387,4.881288865821161,0.0008094495677883204,0.0005610676857265702,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-4.422867277336989e-06
8750,7.04442591619884,4.882823962551823,0.0008050772475655817,0.0005580370242916369,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.001535096730662211,-4.372320222738725e-06
8800,7.046640592639291,4.884359059282486,0.0008007546127999195,0.0005550408021911916,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-4.3226347656621965e-06
8850,7.048855269079742,4.88589415601315,0.0007964808213649427,0.0005520784357077006,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-4.273791434976858e-06
8900,7.051069945520193,4.887429252743813,0.0007922550500584487,0.0005491493542408778,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.001535096730662211,-4.2257713064939965e-06
8950,7.053284621960644,4.888964349474476,0.000788076494073815,0.0005462529999412822,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-4.17855598463363e-06
9000,7.055499298401095,4.89049944620514,0.0007839443664890105,0.0005433888273561267,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-4.132127584804491e-06
9050,7.057713974841547,4.892034542935803,0.0007798578977725466,0.000540556303086829,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-4.086468716463904e-06
9100,7.059928651281998,4.893569639666465,0.0007758163353057141,0.0005377549054578533,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-4.041562466832534e-06
9150,7.062143327722449,4.895104736397128,0.0007718189429204862,0.0005349841241964075,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.9973923852278754e-06
9200,7.0643580041629,4.896639833127792,0.0007678650004524891,0.0005322434601225861,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-3.953942467997099e-06
9250,7.066572680603352,4.898174929858455,0.0007639538033084705,0.0005295324248495627,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-3.911197144018663e-06
9300,7.068787357043804,4.899710026589118,0.0007600846620477209,0.0005268505404934535,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-3.8691412607496116e-06
9350,7.0710020334842545,4.9012451233197805,0.0007562569019769256,0.0005241973393924899,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.001535096730662211,-3.827760070795232e-06
9400,7.073216709924706,4.902780220050444,0.0007524698627579474,0.0005215723638351536,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-3.787039218978213e-06
9450,7.075431386365158,4.904315316781106,0.000748722898028059,0.0005189751657969424,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-3.746964729888424e-06
9500,7.077646062805608,4.905850413511769,0.0007450153750321693,0.0005164053066854493,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.707522995889689e-06
9550,7.07986073924606,4.907385510242431,0.0007413466742666031,0.0005138623570934483,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.001535096730662211,-3.6687007655662003e-06
9600,7.082075415686511,4.908920606973094,0.0007377161891340115,0.0005113458965596973,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.6304851325915603e-06
