perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_permissions,n_api_calls,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_setWifiEnabled,perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_READ_PHONE_STATE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,suspicious_getWifiState,n_urls,n_activities,perm_android_permission_DISABLE_KEYGUARD,intent_com_igexin_sdk_action_refreshls,perm_com_android_launcher_permission_READ_SETTINGS,perm_android_permission_RESTART_PACKAGES,perm_android_permission_SEND_SMS,label
0,24,57,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,36,14,1,0,0,0,1,1
1,25,25,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,43,3,0,0,0,1,0,0
0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,11,0,0,0,0,0,0
0,7,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,10,0,0,0,0,0,0
0,13,14,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,128,68,0,0,0,0,0,0
0,8,47,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,105,42,0,0,0,0,0,0
0,13,46,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,63,13,0,0,0,0,0,0
1,28,46,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,43,60,0,0,0,0,0,0
0,8,12,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,62,34,0,0,0,0,0,0
0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0,0,0
0,9,23,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,32,7,0,0,0,0,0,0
0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,8,0,0,0,0,0,0
0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0
0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0
0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0
0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0
0,28,11,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
0,12,10,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,72,35,0,0,0,0,0,1
0,18,31,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,102,13,0,0,0,0,0,0
0,24,6,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,31,8,0,0,0,0,0,0
0,14,34,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,73,27,0,0,0,0,0,0
0,26,14,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,46,25,0,0,0,0,0,0
0,14,54,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,150,34,0,0,0,0,0,1
0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0
0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0
0,9,24,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,76,16,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0
0,8,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,36,8,0,0,0,0,0,0
0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,37,0,0,0,0,0,0
0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,0,0
0,23,30,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,49,29,0,0,0,0,0,0
0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0
0,15,17,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,45,35,0,0,0,0,0,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20,35,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,22,9,1,0,0,1,1,0
0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,12,0,0,0,0,0,0
1,21,27,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,12,4,0,0,0,0,0,0
0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,8,0,0,0,0,0,0
0,13,34,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,84,31,0,0,0,0,0,0
0,7,19,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,27,15,0,0,0,0,0,0
0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0
0,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,19,0,0,0,0,0,0
0,26,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,8,0,0,0,0,0,0
0,6,35,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,39,5,0,0,0,0,0,0
0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0
0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,9,10,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,23,9,0,0,0,0,0,1
0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0
0,6,22,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,39,5,0,0,0,0,0,0
0,10,4,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,4,0,0,0,1,0,0
0,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,0,0
0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0
0,8,23,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,37,5,0,0,0,0,0,0
0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0
0,5,12,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,15,5,0,0,0,0,0,0
0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,0,0,0,0,0,0
0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0
0,17,23,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,98,82,0,0,0,0,0,0
0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,0,0,0,0
0,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0
1,28,6,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,15,0,0,0,0,0,0
0,27,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0
0,7,14,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,25,12,0,0,0,0,0,0
0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0
1,26,56,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,120,76,1,0,0,0,1,0
1,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,8,0,0,0,0,0,0
0,12,28,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,71,14,0,0,0,0,0,0
0,27,23,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,47,6,0,0,0,0,0,0
0,14,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,11,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
0,12,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,0,0,0
0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
0,17,45,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,163,81,0,0,0,0,0,0
0,7,21,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,36,17,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,9,10,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,35,9,0,0,0,0,0,0
0,6,19,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,16,6,0,0,0,0,0,0
