cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,n_selected_features_raw,n_selected_features_analysis,threshold_pass_count,used_fallback,selection_mode,mean_reduction_ratio,mean_conditional_entropy
166,5934,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
167,32829,50,49,1,0.14144054254182067,14,14,14,14,False,threshold_top_k,0.019387192062347444,0.13869840757815974
168,74395,50,49,1,0.14144054254182067,1,1,1,1,False,threshold_top_k,0.004998237540437378,0.1407335891123483
169,42269,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
170,33708,50,49,1,0.14144054254182067,1,1,1,1,False,threshold_top_k,0.0044075254441937484,0.140817139751727
171,67262,50,47,3,0.32744491915447627,5,5,5,5,False,threshold_top_k,0.02276767035332839,0.3199897611762949
172,62372,50,33,17,0.9248187049730301,0,30,0,0,True,fallback_top_k,0.016227649668810202,0.9098110710215649
173,73647,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
174,34935,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
175,57319,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
176,4775,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
177,42350,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
178,11420,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
179,13658,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
180,30464,50,49,1,0.14144054254182067,13,13,13,13,False,threshold_top_k,0.0181357693446154,0.13887540948630492
181,32734,50,3,47,0.32744491915447627,0,30,0,0,True,fallback_top_k,0.008528235847105749,0.3246523916569904
182,9585,50,49,1,0.14144054254182067,3,3,3,3,False,threshold_top_k,0.00611905678501185,0.14057505983030438
183,53678,50,3,47,0.32744491915447627,2,2,2,2,False,threshold_top_k,0.01670270110110058,0.32197570454276503
184,47266,50,46,4,0.4021791902022728,0,30,0,0,True,fallback_top_k,0.004070180630818919,0.4005422482521931
185,25693,50,49,1,0.14144054254182067,2,2,2,2,False,threshold_top_k,0.008933421643598134,0.14017699453779528
186,47159,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
187,51271,50,28,22,0.9895875212220556,1,1,1,1,False,threshold_top_k,0.0107407663350809,0.9789585928884978
188,22776,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
189,58262,50,48,2,0.24229218908241482,2,2,2,2,False,threshold_top_k,0.010755679999909137,0.239686171830167
190,27133,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
191,56879,50,39,11,0.7601675029619657,5,5,5,5,False,threshold_top_k,0.012095114679729903,0.7509731898378368
192,28572,50,31,19,0.9580420222262995,0,30,0,0,True,fallback_top_k,0.006283510567238498,0.9520221550557821
193,61583,50,32,18,0.9426831892554922,5,5,5,5,False,threshold_top_k,0.00966746755430271,0.9335698301093779
194,14569,50,49,1,0.14144054254182067,0,30,0,0,True,fallback_top_k,0.0019355635836526173,0.14116677537842462
195,62327,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
196,2309,50,49,1,0.14144054254182067,0,30,0,0,True,fallback_top_k,0.003432878766679809,0.14095499430658118
197,47692,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
198,70336,50,47,3,0.32744491915447627,2,2,2,2,False,threshold_top_k,0.010351428907053975,0.32405539635287267
199,9727,50,40,10,0.7219280948873623,18,18,18,18,False,threshold_top_k,0.03568548086459634,0.6961657436716447
