cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
58,cluster_58.json,50,perm_android.permission.GET_TASKS,5,0.4679260696182503,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_58
59,cluster_59.json,50,intent_android.net.wifi.WIFI_STATE_CHANGED,4,0.6970487200507817,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_59
60,cluster_60.json,50,n_api_calls,5,0.9291158537907958,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_60
61,cluster_61.json,50,perm_android.permission.ACCESS_WIFI_STATE,5,0.5619321086935998,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_61
62,cluster_62.json,50,n_activities,4,0.7635519337504896,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_62
63,cluster_63.json,50,n_api_calls,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_63
64,cluster_64.json,50,n_api_calls,5,0.8189293362587747,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_64
65,cluster_65.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.6075412433325944,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_65
66,cluster_66.json,50,suspicious_getSubscriberId,5,0.7051199980199769,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_66
67,cluster_67.json,50,n_urls,4,0.6645908085012586,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_67
68,cluster_68.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9020725344665472,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_68
69,cluster_69.json,50,intent_android.intent.action.PACKAGE_REMOVED,5,0.9582795025211308,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_69
70,cluster_70.json,50,perm_android.permission.GET_TASKS,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_70
71,cluster_71.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9848321558132132,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_71
72,cluster_72.json,50,perm_android.permission.GET_TASKS,5,0.8096124870840535,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_72
73,cluster_73.json,50,suspicious_getSubscriberId,5,0.975048890498635,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_73
74,cluster_74.json,50,n_api_calls,5,0.9128503767117936,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_74
75,cluster_75.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8740238380331042,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_75
76,cluster_76.json,50,perm_android.permission.GET_TASKS,5,0.935867560310672,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_76
77,cluster_77.json,50,suspicious_getSubscriberId,5,0.9745631726253208,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_77
78,cluster_78.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.9479962374512468,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_78
79,cluster_79.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.5253951953344969,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_79
