cluster_id, base_entropy      , max_entropy_reduction_ratio, mean_entropy_reduction_ratio, top_1_feature                                        , top_1_score       , top_2_feature                                              , top_2_score       , top_3_feature                                              , top_3_score       , top_4_feature                                         , top_4_score       , top_5_feature                                        , top_5_score
        10, -0.0              ,          0.0               ,           0.0               , suspicious_system/bin/su                             , 0.0               , intent_                                                    , 0.0               , intent_ACTION.TAPCORE.MESSAGE                              , 0.0               , intent_ACTION.TAPCORE.SYNC                            , 0.0               , intent_LOCATION_SERVICE                              , 0.0
        11, 0.0376223603222784,          0.7419219352168845,           0.0050573087055677, suspicious_Ldalvik/system/DexClassLoader;            , 0.7419219352168845, n_activities                                               , 0.4547672504007629, suspicious_getSubscriberId                                 , 0.4469169714890116, n_permissions                                         , 0.4038791569104713, n_services                                           , 0.3439507958684539
        12, 0.0937779098477716,          0.4097042994379843,           0.0112554390217702, perm_com.google.android.c2dm.permission.RECEIVE      , 0.4097042994379843, intent_android.intent.action.CREATE_SHORTCUT               , 0.3929855043406237, intent_com.google.android.c2dm.intent.RECEIVE              , 0.3652984154745483, n_urls                                                , 0.3589180040925009, n_api_calls                                          , 0.3430571518204178
        13, 0.0672215447583068,          0.2689268092000412,           0.004990617406968 , n_receivers                                          , 0.2689268092000412, n_urls                                                     , 0.2641295553738296, intent_android.intent.action.ACTION_POWER_CONNECTED        , 0.261776527898182 , intent_android.intent.action.ACTION_POWER_DISCONNECTED, 0.261776527898182 , n_api_calls                                          , 0.2391552478319029
        14, 0.0937779098477716,          0.4362976356720306,           0.0030261105906014, suspicious_getCellLocation                           , 0.4362976356720306, suspicious_getSubscriberId                                 , 0.429192939806551 , suspicious_getCellSignalStrength                           , 0.2836788573855884, suspicious_Ljava/lang/Runtime;->exec                  , 0.2319298308740975, perm_android.permission.READ_PHONE_STATE             , 0.1951968531828265
        15, 0.0807931358959111,          0.5721599002689837,           0.0044192531832752, perm_android.permission.GET_TASKS                    , 0.5721599002689837, perm_android.permission.SYSTEM_ALERT_WINDOW                , 0.3310489520253916, perm_android.permission.READ_PHONE_STATE                   , 0.3144945085551002, suspicious_getSubscriberId                            , 0.2775053986955699, suspicious_Ldalvik/system/PathClassLoader;           , 0.2769520545166882
        16, 0.8499431123430717,          0.5896425315497881,           0.012460541558979 , n_urls                                               , 0.5896425315497881, n_activities                                               , 0.5502568077228638, n_permissions                                              , 0.4174658182896558, n_api_calls                                           , 0.3770825720823703, n_services                                           , 0.2248189043770382
        17, 0.0376223603222784,          1.0               ,           0.0080290572489488, suspicious_getCellLocation                           , 1.0               , suspicious_getSubscriberId                                 , 1.0               , intent_android.intent.action.MAIN                          , 1.0               , n_activities                                          , 1.0               , n_permissions                                        , 1.0
        18, 0.7259101060407926,          0.5773668785397693,           0.0042151538705528, suspicious_getSubscriberId                           , 0.5773668785397693, perm_android.permission.READ_PHONE_STATE                   , 0.2046348930389482, n_used_permissions                                         , 0.1640621255281254, suspicious_getPackageInfo                             , 0.1455164100762849, n_urls                                               , 0.1390556431875599
        19, 0.0807931358959111,          0.4311718800639564,           0.0089326629376192, perm_android.permission.GET_TASKS                    , 0.4311718800639564, suspicious_getSubscriberId                                 , 0.403172865633833 , perm_com.android.browser.permission.WRITE_HISTORY_BOOKMARKS, 0.3454854681428998, suspicious_getCellLocation                            , 0.3343333877739916, intent_android.intent.action.PACKAGE_ADDED           , 0.3310489520253916
