intent_android_intent_action_PACKAGE_ADDED,intent_co_ronash_pushe_ACTION_TASK_READY,intent_co_ronash_pushe_service_ScreenStateService,intent_co_ronash_pushe_CHECK_TASKS,intent_android_intent_action_PACKAGE_INSTALL,intent_com_evernote_android_job_ADD_JOB_CREATOR,intent_co_ronash_pushe_RECEIVE,intent_android_intent_action_PACKAGE_FULLY_REMOVED,intent_android_intent_action_PACKAGE_REPLACED,intent_android_net_conn_CONNECTIVITY_CHANGE,suspicious_getCellLocation,intent_android_intent_action_USER_PRESENT,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_SYSTEM_ALERT_WINDOW,n_receivers,perm_android_permission_ACCESS_LOCATION_EXTRA_COMMANDS,perm_android_permission_KILL_BACKGROUND_PROCESSES,intent_android_intent_action_SCREEN_OFF,perm_android_permission_RECEIVE_USER_PRESENT,perm_android_permission_PACKAGE_USAGE_STATS,perm_android_permission_GET_TASKS,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_SCREEN_ON,n_api_calls,n_services,n_permissions,n_providers,perm_android_permission_RECEIVE_BOOT_COMPLETED,n_urls,label
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,34,4,11,1,0,37,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,27,5,13,2,0,38,0
0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,12,0,0,0,0,0,1,0,0,38,10,15,0,1,36,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,26,6,12,3,0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,29,4,13,3,0,33,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,34,7,12,3,0,33,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,25,10,13,2,0,36,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,30,8,10,6,0,40,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,8,13,3,1,31,0
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,33,9,13,1,1,28,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,26,8,13,1,0,38,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,27,8,18,1,0,35,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,27,9,15,4,0,35,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,26,5,12,2,0,35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28,4,9,0,0,39,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,33,9,12,4,0,38,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,29,6,9,1,1,43,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,32,14,13,5,1,29,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,9,13,2,0,43,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,28,12,16,4,1,41,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,28,7,15,2,0,39,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,29,5,9,3,0,40,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,30,14,14,5,0,38,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,26,8,12,3,0,35,0
