intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_CHANGE_WIFI_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_READ_LOGS,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_CHANGE_NETWORK_STATE,intent_cn_jpush_android_intent_NOTIFICATION_CLICK_ACTION,intent_cn_jpush_android_intent_CONNECTION,suspicious_getSubscriberId,intent_com_tencent_smtt_tbs_video_PLAY,perm_com_android_browser_permission_READ_HISTORY_BOOKMARKS,suspicious_getCellLocation,intent_cn_jpush_android_ui_PushActivity,perm_android_permission_GET_TASKS,n_permissions,intent_com_sina_weibo_sdk_action_ACTION_SDK_REQ_ACTIVITY,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED_PROXY,intent_cn_jpush_android_intent_NOTIFICATION_RECEIVED,perm_android_permission_ACCESS_COARSE_LOCATION,intent_cn_jpush_android_intent_MESSAGE_RECEIVED,perm_android_permission_ACCESS_WIFI_STATE,intent_cn_jpush_android_intent_NOTIFICATION_OPENED,intent_cn_jpush_android_intent_REGISTRATION,perm_android_permission_ACCESS_LOCATION_EXTRA_COMMANDS,intent_cn_jpush_android_intent_DaemonService,perm_android_permission_READ_PHONE_STATE,n_urls,n_activities,n_services,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,14,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,35,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,5,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,65,0,0,0,1,0,1,0,0,0,0,1,263,1048,74,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,37,15,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,33,6,1,0
1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,32,1,0,0,1,0,1,0,0,0,0,1,580,98,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,1,7,2,6,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,45,7,6,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,122,54,12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,28,6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,46,17,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,7,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,1,26,9,3,0
1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,34,0,0,0,1,0,1,0,0,0,0,1,440,146,24,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,33,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,10,1,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,1,0,1,0,0,0,0,0,57,24,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,20,9,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,5,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,34,16,7,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,61,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,20,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,19,7,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,20,0,0,0,1,0,1,0,0,0,0,1,7,16,0,0
1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,31,0,0,0,1,0,1,0,0,0,0,1,120,130,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,0,1,11,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,86,11,12,0
1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,33,0,0,0,1,0,1,0,0,1,0,1,0,47,7,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,0,1,0,0,0,0,0,8,4,9,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,22,11,12,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,53,12,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,1,60,72,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,10,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,1,32,4,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,1,30,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,616,0,0
