cluster_id,anchor_index,n_samples,class_0,class_1,mi_mean_all,mi_mean_top30,mi_mean_rest,mi_delta_top30_rest,mi_ratio_top30_all,acc_top30,f1_top30,top30_features
32,37681,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
33,1684,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
34,8624,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
35,72133,50,42,8,0.020848919090333512,0.15281962990764447,0.016767350714540392,0.1360522791931041,7.329858648571305,0.8,0.0,"['intent_cn.uc.gamesdk.sdkweb', 'intent_com.baidu.autoupdatesdk.ACTION_NEW_UPDATE', 'perm_com.tencent.msf.permission.account.sync', 'perm_android.permission.DELETE_PACKAGES', 'intent_com.android.vending.INSTALL_REFERRER', 'intent_com.qihoo.appstore.LitePluginDownload', 'intent_com.sogou.androidtool.action.main', 'intent_com.baidu.autoupdatesdk.ACTION_NEW_AS', 'perm_com.android.vending.CHECK_LICENSE', 'intent_show_encourage', 'intent_com.qihoo360.mobilesafe.pcdaemon.sms.cancel.default.smsreceive', 'intent_com.excelliance.dualaid.action.appcrash', 'perm_com.sonymobile.home.permission.PROVIDER_INSERT_BADGE', 'intent_pre_add_game_uninstalled', 'perm_android.permission.READ_SMS', 'perm_android.permission.RECEIVE_BOOT_COMPLETED', 'intent_android.intent.action.MEDIA_UNMOUNTED', 'intent_com.kingroot.common.ACTION_NOTIFY_OUT_SELF_APP_BY_MAIN', 'intent_com.ez.sj', 'perm_com.android.email.permission.READ_ATTACHMENT', 'intent_com.Remind.alarm.enable', 'intent_android.intent.action.USER_CLEARNOTIFY', 'perm_android.permission.ACCESS_WIMAX_STATE', 'intent_com.qihoo.appstore.OPEN_BROWSER', 'intent_com.excelliance.open.action.apkverchk', 'intent_qihu360.intent.action.EXPORT_STAT', 'intent_android.intent.action.ACTION_PACKAGE_ADDED', 'suspicious_getCellSignalStrength', 'intent_android.intent.action.MAIN', 'intent_com.sina.weibo.sdk.action.ACTION_SDK_REQ_ACTIVITY']"
36,33347,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
37,51682,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
38,20491,50,47,3,0.0174432652526527,0.20868012556328452,0.011528723181189863,0.19715140238209466,11.963363655869953,1.0,1.0,"['perm_android.permission.SYSTEM_ALERT_WINDOW', 'perm_android.permission.CAMERA', 'suspicious_getSubscriberId', 'perm_android.permission.VIBRATE', 'perm_android.permission.ACCESS_FINE_LOCATION', 'suspicious_getSystemService', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'perm_android.permission.READ_EXTERNAL_STORAGE', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'suspicious_Cipher', 'suspicious_Ljava/lang/Runtime;->exec', 'suspicious_Ljava/lang/System;->loadLibrary', 'intent_android.intent.action.MAIN', 'intent_cn.jpush.android.intent.NOTIFICATION_RECEIVED_PROXY', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'suspicious_getDeviceId', 'suspicious_Ldalvik/system/DexClassLoader;', 'perm_android.permission.RECORD_AUDIO', 'intent_com.qihoo.appstore.ACTION_GAME_UNION_GIFT_LiST', 'perm_com.google.android.c2dm.permission.RECEIVE', 'perm_android.permission.WRITE_SETTINGS', 'perm_com.facebook.katana.permission.CROSS_PROCESS_BROADCAST_MANAGER', 'perm_android.permission.GET_TASKS', 'perm_android.permission.CHANGE_WIFI_STATE', 'intent_com.google.firebase.MESSAGING_EVENT', 'intent_qihu360.intent.action.EXPORT_STAT', 'intent_android.intent.action.USER_PRESENT', 'intent_android.intent.action.apservice', 'perm_me.everything.badger.permission.BADGE_COUNT_READ']"
39,58133,50,43,7,0.03057986822622122,0.43496954137347027,0.018072971118574338,0.4168965702548959,14.22404891203875,0.9333333333333333,0.6666666666666666,"['suspicious_system/bin/su', 'n_api_calls', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'intent_com.inmobi.share.id', 'intent_android.intent.action.MAIN', 'suspicious_getDeviceId', 'suspicious_getSystemService', 'suspicious_Ljava/lang/System;->loadLibrary', 'n_permissions', 'perm_android.permission.READ_PHONE_STATE', 'suspicious_getPackageInfo', 'n_receivers', 'perm_android.permission.RECEIVE_BOOT_COMPLETED', 'n_urls', 'suspicious_getCellSignalStrength', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'suspicious_Ljava/lang/System;->load', 'suspicious_Cipher', 'intent_com.android.vending.INSTALL_REFERRER', 'suspicious_getCellLocation', 'perm_android.permission.ACCESS_NETWORK_STATE', 'n_used_permissions', 'intent_com.google.android.c2dm.intent.RECEIVE', 'n_activities', 'intent_android.intent.action.BOOT_COMPLETED', 'n_services', 'suspicious_Base64', 'suspicious_Ldalvik/system/DexClassLoader;', 'intent_com.google.android.c2dm.intent.REGISTRATION']"
40,32270,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
41,57830,50,45,5,0.01694536270337983,0.20425195518351788,0.0111523753070869,0.19309957987643098,12.053560537997745,0.9333333333333333,0.0,"['suspicious_getExternalStorageDirectory', 'n_used_permissions', 'suspicious_getPackageInfo', 'suspicious_getSystemService', 'intent_android.intent.action.MAIN', 'n_urls', 'n_activities', 'n_api_calls', 'suspicious_Base64', 'suspicious_Cipher', 'suspicious_getDeviceId', 'perm_com.thunderst.launcher.permission.READ_SETTINGS', 'intent_com.kingroot.kinguser.action.update', 'intent_com.areametrics.areametricssdk.AMLocationUpdatesBroadcastReceiver.ACTION_PROCESS_UPDATES', 'perm_com.samsung.svoice.sync.READ_DATABASE', 'perm_android.permission.SET_WALLPAPER', 'intent_com.kingroot.master.action.TRAFFIC_STATISTICS', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.blogger', 'intent_com.qihoo.appstore.notification.click', 'intent_android.intent.action.DELETE', 'intent_com.qihoo.commonservice.SERVICE', 'intent_android.intent.action.DOWNLOAD_WAKEUP', 'intent_com.qihoo.appstore.open.wallet', 'suspicious_Ljava/lang/System;->loadLibrary', 'perm_android.permission.GET_PACKAGE_SIZE', 'intent_com.qihoo.appstore.plugin.battery.setPowerRankConfig', 'intent_com.mobiletool.appstore.action.extend', 'intent_com.qihoo.hongbao.LOGIN', 'n_providers', 'perm_android.permission.READ_SYNC_SETTINGS']"
42,4284,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
43,71951,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
44,23039,50,50,0,0.0,0.0,0.0,0.0,0.0,,,[]
