cluster_id,feature,aggregated_score,method_count,rank_mean,rank_std,top_methods,entropy_reduction_ratio,entropy_reduction_ratio_norm,entropy_reduction_ratio_rank,mutual_information,mutual_information_norm,mutual_information_rank,chi2_stat,chi2_stat_norm,chi2_stat_rank,f_stat,f_stat_norm,f_stat_rank,pearson_r,pearson_r_norm,pearson_r_rank
44,n_services,0.20934890386596247,1,66.2,133.49794005901364,chi2_stat,0.12173331163138433,0.340454720281413,7.0,0.0007352819944165256,0.018200240761969685,305.0,2.8898688078627535,0.12008010532076863,5.0,2.273181410946663,0.0857540090981847,8.0,0.0674083500100332,0.4822554438674763,6.0
44,n_activities,0.19625233455316393,1,160.1,300.9747497714717,entropy_reduction_ratio,0.2447375390360039,0.684463843776535,2.0,0.0,0.0,697.5,0.030181086519114494,0.0012540873959571862,46.0,0.05001942669920324,0.0019253621762375416,41.0,0.010044095512289467,0.2936183794170899,14.0
44,n_urls,0.17532163441192306,1,260.4,417.7000119703134,entropy_reduction_ratio,0.22790158839905686,0.6373783025392281,4.0,0.0013935899513476402,0.03449516352989946,241.0,0.02621258346559783,0.001089187777214803,47.0,0.19802294531624556,0.007506122729568801,22.0,-0.019599120463470805,0.19613939548370413,988.0
44,perm_android.permission.READ_PHONE_STATE,0.16717705533665134,1,145.5,308.59398892395814,pearson_r,0.0442872326387577,0.1238592559259587,13.0,0.0,0.0,697.5,2.52264011418941,0.10482098349035035,6.0,2.7401013119835524,0.10336013217972041,6.0,0.07397367348708876,0.5038449050872273,5.0
44,n_permissions,0.1368983842579955,1,237.0,426.971310511608,entropy_reduction_ratio,0.1486033750070045,0.4156029257142152,5.0,0.002687630093398896,0.06652619695630016,153.0,0.13702157634271567,0.005693533655813089,18.0,0.24765027868043704,0.009377417864940056,16.0,-0.022289646944662143,0.187291847098709,993.0
44,suspicious_Cipher,0.23148657457461255,0,238.6,427.2947460477369,,0.00032848719600359793,0.0009186886886809886,80.0,0.035732908483621095,0.884487234103167,6.0,1.2096627863371069e-05,5.026402388605345e-07,91.0,-0.0010417815307796686,0.0,1000.0,0.003478020681849469,0.272026447440976,16.0
44,suspicious_getDeviceId,0.13273696990647074,0,22.4,19.320973060381817,,0.01261605037108963,0.03528363635708554,19.0,0.011544125483714751,0.28574868524657027,10.0,0.01784790818344188,0.000741617989229113,56.0,0.24024327207533508,0.009098122273414454,18.0,0.02196305754784112,0.33281278766605443,9.0
44,suspicious_Ldalvik/system/DexClassLoader;,0.1225959906264483,0,33.4,31.97342646636422,,0.0060161193496761104,0.016825437531640446,27.0,0.011383086846849855,0.28176253845503035,12.0,0.004057540262320822,0.00016859930136519996,89.0,0.11198957280037258,0.004262067074047707,27.0,0.015013956955521993,0.30996131077015787,12.0
44,intent_com.mobiletool.appstore.action.topicdetail,0.11791707288672873,0,423.0,234.78820242933844,,0.0,0.0,546.0,0.013289714360244065,0.328956785085137,7.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,n_used_permissions,0.1159386546869896,0,152.7,304.7662218816252,,0.07494633581901365,0.209604367575595,11.0,0.0,0.0,697.5,0.04943439054831894,0.002054102527893047,36.0,0.3957140491596241,0.014960450331930287,12.0,0.02812456983440362,0.3530743529995297,7.0
