cluster_id,anchor_index,rank,feature
19,17004,26,intent_android.intent.action.ACTION_POWER_CONNECTED
19,17004,27,intent_android.intent.action.ACTION_POWER_DISCONNECTED
19,17004,28,intent_android.intent.action.ACTION_SHUTDOWN
19,17004,29,intent_android.intent.action.ACTION_VIEW_DOWNLOADS
19,17004,30,intent_android.intent.action.ANY_DATA_STATE
20,64228,1,perm_android.permission.GET_TASKS
20,64228,2,perm_android.permission.SYSTEM_ALERT_WINDOW
20,64228,3,perm_com.android.launcher.permission.INSTALL_SHORTCUT
20,64228,4,perm_android.permission.READ_PHONE_STATE
20,64228,5,n_services
20,64228,6,perm_com.google.android.c2dm.permission.RECEIVE
20,64228,7,intent_com.google.android.c2dm.intent.RECEIVE
20,64228,8,n_permissions
20,64228,9,n_urls
20,64228,10,n_api_calls
20,64228,11,n_activities
20,64228,12,intent_com.google.android.gms.measurement.UPLOAD
20,64228,13,perm_android.permission.WRITE_EXTERNAL_STORAGE
20,64228,14,n_receivers
20,64228,15,n_providers
20,64228,16,intent_android.intent.action.PACKAGE_REPLACED
20,64228,17,intent_com.google.android.c2dm.intent.REGISTRATION
20,64228,18,intent_com.google.firebase.INSTANCE_ID_EVENT
20,64228,19,intent_com.google.android.gms.iid.InstanceID
20,64228,20,perm_android.permission.ACCESS_COARSE_LOCATION
20,64228,21,perm_android.permission.VIBRATE
20,64228,22,suspicious_Ljava/lang/System;->loadLibrary
20,64228,23,suspicious_getDeviceId
20,64228,24,perm_android.permission.ACCESS_WIFI_STATE
20,64228,25,intent_android.intent.action.BOOT_COMPLETED
20,64228,26,suspicious_Ljava/lang/System;->load
20,64228,27,intent_com.android.vending.INSTALL_REFERRER
20,64228,28,intent_android.intent.action.USER_PRESENT
20,64228,29,suspicious_getSimCountryIso
20,64228,30,perm_android.permission.RECEIVE_BOOT_COMPLETED
21,61938,1,n_used_permissions
21,61938,2,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS
21,61938,3,n_api_calls
21,61938,4,n_permissions
21,61938,5,perm_com.google.android.c2dm.permission.RECEIVE
21,61938,6,n_activities
21,61938,7,intent_com.google.android.c2dm.intent.RECEIVE
21,61938,8,n_urls
21,61938,9,perm_android.permission.READ_PHONE_STATE
21,61938,10,n_receivers
21,61938,11,n_services
21,61938,12,suspicious_getSubscriberId
21,61938,13,n_providers
21,61938,14,perm_android.permission.ACCESS_COARSE_LOCATION
21,61938,15,intent_android.net.conn.CONNECTIVITY_CHANGE
21,61938,16,suspicious_getCellLocation
21,61938,17,suspicious_Ljava/lang/Runtime;->exec
21,61938,18,perm_android.permission.CHANGE_WIFI_STATE
21,61938,19,intent_android.net.wifi.STATE_CHANGE
21,61938,20,perm_android.permission.ACCESS_WIFI_STATE
21,61938,21,perm_android.permission.ACCESS_FINE_LOCATION
21,61938,22,perm_android.permission.SYSTEM_ALERT_WINDOW
21,61938,23,perm_android.permission.WRITE_SETTINGS
21,61938,24,suspicious_getWifiState
21,61938,25,perm_android.permission.CHANGE_CONFIGURATION
